80,5,16
4424,5244,2539,3596,1034
13,16,25,41,70,9
0,99,94,21,0,37
56,68,75,88,0,32
14,0,98,47,87,14
83,61,87,64,16,42
79,0,56,59,27,7
11,22,48,89,0,3
95,48,39,30,93,43
92,20,56,65,78,22
45,0,16,72,0,49
0,53,84,75,79,24
25,0,12,0,45,17
89,91,95,52,57,41
67,51,97,27,38,6
0,11,70,49,66,21
45,16,34,10,0,46
57,73,80,67,41,38
0,57,97,100,0,37
72,62,60,48,0,19
84,57,39,78,54,12
85,54,37,0,46,44
83,84,14,0,0,14
62,24,39,0,32,46
10,55,70,97,66,44
0,71,94,57,0,23
92,0,92,79,37,12
16,80,29,82,41,50
0,93,73,14,37,25
90,0,98,90,10,46
71,100,12,71,51,24
35,30,59,0,0,45
97,66,83,0,16,23
0,44,42,0,0,19
70,57,28,0,51,17
78,0,26,0,32,45
31,79,46,33,44,47
31,66,62,0,61,8
65,0,60,63,66,19
56,0,50,55,42,24
100,0,19,50,88,7
0,60,75,76,31,8
82,0,33,30,27,27
26,0,83,19,0,22
0,0,29,29,98,18
53,74,100,17,27,9
33,82,86,37,21,36
0,98,55,0,65,6
55,32,34,0,48,34
78,55,79,47,81,46
91,82,63,0,15,30
0,33,95,57,0,41
0,35,10,88,0,23
73,80,69,0,94,29
72,0,70,91,100,17
90,54,54,0,0,16
32,64,18,69,11,45
76,52,32,0,61,40
95,72,73,37,85,26
58,0,63,79,82,43
11,57,73,40,49,24
94,56,71,29,77,28
87,82,33,78,72,10
0,68,39,0,65,7
63,0,13,45,89,19
0,41,23,75,53,10
82,33,47,11,0,3
15,86,77,56,27,47
47,16,25,78,19,1
88,69,86,0,61,11
0,0,80,71,22,10
0,56,38,24,13,27
79,43,77,0,51,44
22,96,97,45,63,33
92,0,84,24,82,37
27,48,47,16,0,45
41,87,38,0,99,36
81,72,10,74,0,6
18,0,16,52,69,41
85,0,12,55,91,23
92,51,66,34,0,16
