80,5,66
4576,1799,5328,4658,4088
66,42,54,71,94,18
42,22,100,59,16,43
92,89,27,0,57,5
56,59,78,78,67,30
73,47,37,40,85,17
43,97,83,0,79,28
80,52,38,55,23,28
51,97,100,0,67,16
43,12,37,98,42,49
34,65,31,10,29,2
75,97,67,0,68,2
13,90,63,0,41,2
0,52,11,18,17,30
0,98,86,39,46,31
0,33,62,69,19,11
62,86,89,65,90,5
0,69,94,33,29,17
78,20,39,17,92,19
20,88,14,99,59,23
71,82,92,35,93,15
0,79,86,96,96,33
54,13,40,0,63,9
0,16,57,91,87,7
82,19,85,42,40,43
0,36,56,70,63,4
12,41,97,83,99,5
17,74,74,89,68,6
39,83,84,44,66,12
91,81,58,74,39,8
76,16,99,51,33,46
35,22,43,68,17,39
10,82,45,84,76,39
0,65,32,39,93,16
0,86,65,31,56,46
56,92,90,0,73,39
10,47,77,47,39,35
79,37,27,50,62,22
48,81,54,33,85,1
45,92,50,94,54,2
34,93,29,31,79,22
82,10,40,68,36,20
85,65,66,92,32,6
51,67,13,0,34,6
17,96,46,0,78,10
0,73,56,0,13,18
95,66,21,39,26,38
11,69,71,0,63,46
86,58,47,0,35,28
18,79,66,59,63,33
13,19,88,40,17,1
65,55,33,41,10,29
50,82,30,12,95,25
44,10,95,0,98,40
0,27,47,49,71,32
81,64,72,57,31,44
51,69,45,69,51,6
27,80,81,21,99,39
90,81,99,49,71,18
78,96,57,43,11,43
97,84,92,0,82,11
36,100,19,48,31,34
12,41,97,53,49,1
13,32,90,17,83,6
88,45,22,0,15,34
36,31,60,11,22,15
0,93,12,0,55,3
78,96,64,74,80,37
0,43,45,40,41,48
72,34,33,42,68,19
98,79,57,46,70,46
43,55,57,0,33,48
54,51,27,27,21,25
62,94,39,35,22,31
0,73,80,83,67,21
29,11,68,56,55,26
0,65,34,44,37,20
0,63,27,89,99,34
16,24,33,87,18,11
39,92,20,36,65,23
86,42,84,66,54,48
