40,4,38
2927,3083,1713,157
16,90,49,67,3
37,48,38,34,45
34,10,99,37,39
30,57,11,87,7
62,47,26,66,20
76,100,12,69,39
10,53,97,30,6
73,48,68,53,34
78,96,29,62,25
50,100,77,83,33
28,64,52,73,2
42,98,64,69,29
10,72,81,65,30
67,15,74,49,19
53,72,40,90,48
77,70,49,26,36
82,48,39,98,37
71,28,22,81,17
32,52,48,55,28
33,58,82,65,41
57,53,75,94,13
22,68,13,71,38
98,98,38,19,14
54,51,33,71,41
78,83,32,55,2
51,26,56,15,34
46,53,62,32,44
92,70,84,74,38
96,85,22,88,37
71,72,98,10,15
86,43,11,26,28
39,92,94,49,25
67,79,48,80,37
68,28,11,36,20
17,100,82,52,1
62,77,69,23,14
79,72,20,68,14
64,47,61,53,43
11,39,43,64,3
65,15,83,85,43
