80,5,15
6318,3180,4117,2667,1996
42,18,55,75,19,49
48,90,81,0,87,48
12,85,51,73,75,18
13,21,91,0,38,14
77,70,27,11,39,2
51,36,57,61,97,45
57,69,40,29,78,44
84,77,96,0,74,32
86,92,38,0,40,46
68,65,0,0,99,37
96,98,34,0,46,26
34,0,58,31,86,7
69,76,22,73,65,40
33,50,12,60,51,31
93,0,35,0,66,6
23,50,56,87,63,47
49,23,47,24,71,45
88,31,36,78,67,26
11,80,63,100,22,35
54,0,75,34,33,31
98,0,47,0,51,19
40,78,79,0,64,2
26,15,62,0,31,49
10,61,16,30,30,3
81,38,100,92,37,5
63,79,74,76,81,33
96,0,98,48,88,3
13,45,85,75,82,11
74,69,31,94,68,36
67,59,74,68,97,39
17,12,31,31,64,38
47,99,96,32,16,8
13,76,0,87,78,35
49,100,85,23,34,50
76,61,0,100,96,25
19,0,57,16,31,50
71,61,75,0,39,16
24,38,71,99,81,37
88,77,0,96,79,49
81,46,41,22,77,37
41,11,79,44,62,33
60,53,49,0,39,46
86,96,35,0,99,35
20,26,71,42,50,44
59,53,67,86,33,45
68,35,0,51,22,39
76,99,0,44,90,26
64,44,35,76,54,47
81,50,99,80,70,22
26,85,0,64,22,32
51,0,35,42,83,1
52,19,97,58,19,31
17,81,49,26,37,24
75,0,0,94,82,14
95,52,31,92,36,10
61,0,96,11,80,4
65,74,84,35,20,43
67,0,31,93,54,17
88,77,92,69,65,18
93,27,28,95,66,25
48,56,25,90,19,4
46,54,94,41,47,13
30,21,19,0,36,7
85,11,16,0,61,33
57,0,70,29,10,49
60,78,19,100,21,29
16,0,87,0,11,37
23,0,52,88,25,6
66,0,28,46,80,19
38,35,60,67,78,19
100,72,65,55,94,44
35,0,51,0,38,23
47,19,77,0,88,46
93,76,61,56,13,2
71,93,53,61,42,48
29,66,59,50,93,31
100,85,14,49,43,39
56,98,42,80,35,48
83,85,0,18,40,48
53,48,0,0,64,38
