60,6,50
4059,3164,4338,2805,2189,497
0,71,44,41,58,0,13
11,90,17,12,0,0,35
16,42,58,41,0,89,35
0,54,63,98,90,42,48
40,76,50,17,97,55,50
33,80,54,20,58,18,43
55,58,42,31,0,92,30
35,51,43,45,29,30,49
45,83,60,20,49,39,35
28,70,26,82,0,42,36
11,62,17,30,0,0,32
0,73,99,91,67,0,23
44,38,55,52,0,87,50
0,32,57,78,64,14,25
70,39,83,90,56,0,20
59,21,80,79,0,81,48
53,93,98,34,83,100,6
46,74,82,48,14,100,20
70,16,91,91,12,0,34
19,65,97,45,94,58,8
47,20,17,76,31,68,6
67,45,15,48,65,93,47
51,36,25,17,93,39,43
99,42,99,61,0,68,5
50,15,45,40,31,58,13
71,31,41,51,10,53,40
88,79,47,53,60,61,26
19,17,60,75,92,30,44
59,15,28,24,38,76,48
67,14,48,16,70,56,33
0,30,81,79,23,61,16
70,61,26,68,83,80,26
30,43,49,79,41,0,28
28,61,88,90,0,0,27
84,84,47,33,33,77,24
52,59,21,15,0,80,38
91,87,15,79,0,35,20
68,75,81,26,63,0,10
0,97,59,93,74,0,36
0,16,60,40,96,0,19
41,83,46,90,70,51,32
21,72,91,84,100,50,8
85,20,90,32,88,40,13
12,13,90,25,89,82,18
36,38,86,32,41,34,8
56,31,83,85,67,89,13
49,63,97,72,0,63,27
83,24,39,26,60,0,43
95,86,30,49,54,19,3
40,19,42,80,0,0,25
40,41,100,65,39,18,19
10,24,70,17,62,55,36
39,57,28,46,0,0,15
68,11,94,72,59,74,16
68,18,56,68,89,33,49
43,57,53,83,0,0,37
97,69,70,96,65,98,46
0,15,20,39,56,0,22
92,99,25,91,97,0,26
76,13,27,18,89,15,41
