80,4,42
5726,4289,3697,1151
26,45,81,94,13
57,25,63,99,5
29,70,10,83,1
44,67,81,60,20
58,59,73,71,49
71,54,88,100,18
48,20,10,56,2
82,86,24,16,20
12,34,38,68,28
58,38,51,21,48
52,22,39,92,32
61,21,79,85,23
72,27,97,71,47
36,36,87,43,19
56,84,39,51,29
82,27,45,95,20
49,81,71,88,45
92,24,56,74,16
94,84,11,26,3
12,60,37,34,38
36,29,46,38,1
22,75,46,63,49
72,76,44,26,45
58,77,70,36,41
13,12,21,38,45
11,42,66,23,12
34,53,37,23,6
46,36,63,61,28
40,34,60,30,26
26,24,76,17,26
40,97,80,77,7
96,71,39,13,18
99,27,73,35,25
96,47,14,18,38
73,12,95,68,33
43,59,73,36,16
10,33,44,77,44
57,62,16,12,50
12,57,32,65,20
54,11,57,67,22
17,64,53,18,16
39,34,19,64,25
59,23,22,99,32
12,90,69,47,46
87,88,97,63,29
64,28,12,18,12
14,87,60,96,23
79,46,66,12,42
11,14,41,28,47
13,99,61,97,39
100,87,11,99,22
65,11,53,29,44
47,34,59,13,43
56,35,35,55,1
44,33,31,16,36
28,80,75,67,19
20,18,91,69,10
87,32,83,81,9
53,35,90,95,7
82,34,33,11,49
80,78,56,14,12
15,45,43,63,47
56,14,48,96,26
35,60,33,81,35
16,34,49,20,40
37,54,16,74,12
66,78,38,57,43
79,43,52,52,27
79,54,87,78,27
22,86,17,42,21
99,37,65,68,29
74,25,24,32,28
21,31,58,92,19
60,90,50,98,50
91,36,71,60,6
39,87,17,35,38
96,27,79,68,1
57,65,96,64,9
77,96,99,96,50
53,68,35,67,35
