60,4,48
3791,3881,2440,1957
10,51,90,51,11
17,60,38,27,36
30,81,58,21,18
43,95,34,31,17
81,57,60,92,47
61,19,63,67,39
40,68,99,28,29
70,95,33,86,19
49,35,70,56,8
62,59,26,83,14
39,23,40,89,19
84,98,98,67,6
96,36,13,32,11
21,18,47,94,36
73,87,91,12,6
74,63,36,46,11
35,22,48,87,40
99,35,79,27,47
68,75,51,46,42
94,74,30,70,32
60,90,43,33,19
26,47,61,81,47
42,82,64,84,4
22,25,51,69,21
56,86,53,17,19
55,35,13,63,40
81,22,83,60,47
36,57,31,46,45
81,60,78,97,40
35,73,78,23,48
48,87,14,72,6
76,75,33,33,11
68,82,78,37,17
79,46,92,68,43
56,77,64,75,22
20,43,14,82,8
10,65,86,25,19
97,89,29,12,39
91,94,51,46,38
20,91,73,39,14
51,65,52,84,41
46,17,79,55,20
97,44,47,65,20
37,83,55,85,37
19,73,52,30,3
100,49,39,23,10
15,53,59,85,34
51,45,18,55,28
81,19,77,47,41
93,55,43,14,8
39,53,66,44,26
73,98,95,27,20
16,37,57,79,6
89,48,10,65,44
91,53,10,39,24
44,56,40,18,9
83,21,45,92,12
27,54,50,23,38
54,71,45,59,14
39,81,59,68,4
