60,6,7
2302,2409,3391,1748,2231,409
18,0,48,0,0,13,12
90,0,45,58,20,59,19
62,55,21,34,86,49,19
77,0,12,0,61,57,50
19,0,72,92,54,61,17
15,42,55,0,69,90,42
0,73,100,18,32,63,22
0,95,68,22,38,0,9
0,37,49,42,43,17,24
0,49,26,53,59,0,45
90,0,98,0,30,52,23
88,0,89,0,33,47,34
14,11,64,64,14,0,9
71,21,28,0,88,76,4
49,64,49,0,99,30,26
20,73,19,18,0,0,23
0,36,31,0,23,0,1
88,86,40,0,0,78,34
44,0,12,0,24,0,12
0,0,60,15,74,62,50
53,0,92,50,87,35,20
0,29,10,0,78,58,16
29,86,80,15,57,62,27
76,28,10,49,54,19,3
0,38,16,0,58,17,24
0,41,35,72,27,65,45
0,73,22,0,47,0,36
0,86,38,24,0,0,48
73,43,21,56,0,28,18
0,37,24,0,33,0,13
17,60,28,63,67,0,6
98,42,86,0,99,0,39
0,11,83,72,21,0,46
0,34,55,51,17,0,33
0,93,41,64,0,89,23
0,0,52,0,95,0,30
62,16,20,59,0,95,9
52,40,35,29,91,72,14
0,11,18,72,47,0,37
0,16,25,11,46,42,21
53,61,91,18,0,31,34
79,0,14,0,85,0,44
0,48,25,70,27,24,36
47,0,21,88,45,16,45
0,96,57,0,16,97,29
27,29,20,19,40,0,27
83,78,10,30,65,89,19
0,0,67,49,60,20,27
45,0,49,94,0,97,42
0,0,39,40,45,18,29
34,48,23,40,91,0,27
40,51,33,29,11,40,7
0,40,48,0,70,15,23
0,78,38,90,21,22,21
68,100,64,0,80,0,22
96,0,20,92,0,11,22
81,0,24,0,47,0,41
0,91,59,66,62,36,45
61,19,12,0,69,99,3
0,30,74,57,76,34,36
