40,5,67
2286,2480,2255,2731,69
0,23,74,80,0,42
90,88,54,13,0,41
67,49,52,54,0,19
14,46,13,53,14,16
15,81,75,39,68,23
90,89,44,46,28,4
95,27,94,88,56,46
0,90,10,59,54,4
16,40,33,12,13,42
47,67,22,54,16,17
47,98,33,10,0,40
70,70,74,64,48,13
43,80,65,88,69,8
0,71,93,88,0,33
0,14,18,88,26,10
24,95,19,60,19,22
0,49,72,94,27,32
42,42,57,87,93,39
90,94,10,28,48,2
29,92,20,23,13,31
67,48,24,98,38,29
84,58,99,43,74,16
41,88,11,80,0,28
64,67,65,69,58,22
79,81,26,79,0,14
93,52,100,67,0,27
37,63,49,90,0,3
23,46,95,98,38,5
0,75,36,26,15,29
65,51,50,53,45,21
0,31,79,79,99,4
0,50,32,93,83,32
52,15,18,15,57,47
0,49,90,73,0,12
82,45,98,12,24,4
64,49,28,11,68,12
77,100,23,55,0,40
11,48,62,68,52,7
54,49,71,62,96,9
19,53,74,38,0,48
