40,6,44
2747,1753,2195,1402,853,1557
69,98,99,90,83,0,31
97,38,94,50,0,45,39
30,0,20,46,58,86,2
78,73,48,43,0,92,48
78,47,34,59,48,73,18
20,17,93,31,85,92,13
56,0,86,76,46,34,33
100,0,21,83,12,0,35
61,0,72,69,52,28,28
51,0,45,79,15,66,42
47,25,11,96,18,41,40
92,31,90,85,91,73,19
100,0,55,52,95,0,31
88,0,64,34,17,71,11
29,61,89,61,69,0,12
94,78,37,28,57,0,38
68,0,28,51,12,96,50
29,49,87,87,43,74,41
61,41,93,33,52,95,3
82,0,75,52,0,0,31
59,69,71,57,18,46,3
76,0,50,78,22,52,20
27,0,12,48,25,44,4
30,0,25,23,75,65,33
65,58,63,99,22,66,27
24,54,58,15,93,0,43
88,31,39,32,18,87,42
34,72,13,54,53,96,8
28,53,36,77,0,49,48
65,27,48,83,20,0,8
15,21,86,34,54,80,25
42,21,50,94,34,10,11
40,0,68,81,14,77,43
31,0,26,89,0,34,23
99,0,27,38,91,71,27
85,73,25,37,48,25,49
63,0,91,87,37,11,34
97,97,25,19,34,0,50
49,91,15,64,22,11,2
45,68,96,66,86,27,24
