40,10,67
1210,638,1211,1393,814,720,907,2794,2327,608
0,0,0,97,18,0,0,46,59,22,22
68,0,97,88,53,78,82,91,25,0,22
89,67,0,0,70,0,95,25,50,58,47
90,0,0,30,80,100,73,72,26,63,26
65,0,78,14,94,82,0,11,28,97,7
28,24,23,82,81,0,12,49,89,90,28
55,51,0,29,57,20,98,10,33,15,2
53,89,0,0,48,55,0,37,0,81,11
24,49,0,0,85,0,55,0,50,13,27
65,0,0,0,25,0,65,95,67,32,46
0,0,0,36,59,77,0,97,25,0,25
0,0,32,0,53,0,0,40,79,80,9
0,0,88,66,60,0,12,0,76,39,33
24,0,69,42,31,27,38,60,0,27,36
0,13,0,92,45,100,0,100,0,0,38
51,0,0,0,77,34,41,76,20,81,24
0,59,89,0,72,32,0,56,60,40,48
0,73,0,0,22,82,19,57,86,43,9
0,0,51,86,0,52,77,10,15,38,43
0,10,32,0,90,0,67,60,15,15,7
19,0,0,0,24,33,45,57,82,48,23
83,0,36,64,69,0,0,29,79,0,1
0,81,74,51,0,45,0,0,0,0,44
0,14,0,0,31,57,0,97,82,29,47
0,59,0,51,0,26,0,73,10,36,7
31,21,10,0,14,86,64,36,57,0,25
26,50,0,97,21,100,0,66,18,84,24
95,86,0,0,67,68,68,0,33,96,21
0,0,78,0,0,16,0,32,63,57,22
36,88,72,0,25,0,0,0,0,38,23
82,40,23,36,69,62,0,86,65,76,8
53,97,86,0,0,20,100,39,13,26,48
77,33,0,0,0,73,0,55,28,19,37
21,15,29,0,32,10,26,85,68,69,50
21,36,67,0,87,0,0,81,0,18,45
0,73,0,0,0,0,0,24,22,0,30
0,17,55,0,34,73,27,73,40,92,39
0,0,0,0,57,0,12,88,58,0,26
53,0,0,0,36,0,76,11,72,26,44
0,0,0,0,0,71,0,75,42,47,29
