40,6,68
2640,2461,1698,1106,1737,276
12,72,34,78,96,24,7
0,97,29,62,95,69,36
57,70,33,61,80,12,24
43,67,89,67,50,18,38
91,48,12,74,99,40,13
57,67,70,0,97,0,30
79,22,94,12,15,0,9
70,82,58,79,63,59,12
18,96,0,99,37,47,36
70,84,41,16,0,32,17
0,81,34,34,0,45,26
72,41,51,65,79,32,7
23,54,0,13,79,0,4
17,27,45,35,100,71,30
84,63,73,51,77,0,40
96,55,43,75,32,49,20
85,73,41,14,45,78,41
97,75,37,84,75,0,14
63,22,16,21,48,94,42
0,47,80,38,100,74,40
55,100,0,76,25,38,3
27,86,38,63,46,0,21
0,37,61,87,14,42,45
0,74,11,0,92,0,26
90,31,54,22,41,0,23
0,48,0,31,38,0,33
65,63,68,0,83,57,20
100,49,0,27,36,80,46
66,84,15,17,21,100,24
76,41,36,67,58,63,20
19,16,24,89,0,0,31
23,19,22,77,22,62,41
44,28,11,81,94,13,20
23,75,0,23,31,82,50
37,90,19,45,64,10,45
20,34,71,18,81,0,43
28,17,92,49,0,0,29
33,77,46,0,0,0,40
48,23,26,0,0,22,18
0,45,30,58,90,0,9
