60,5,26
3103,2771,2889,2479,833
47,0,60,0,0,36
0,0,0,44,44,16
23,23,57,42,42,16
44,90,88,0,72,18
32,0,0,77,53,45
16,88,50,39,75,40
95,74,0,0,31,1
73,82,0,85,0,39
18,26,80,56,95,17
39,71,62,69,85,33
38,56,0,0,27,31
29,0,56,19,26,13
71,21,35,28,78,40
67,40,70,75,0,24
86,0,44,54,48,41
94,40,13,84,73,28
43,13,16,22,82,23
72,87,50,74,14,2
41,0,39,54,86,21
80,28,58,0,100,36
51,13,0,79,28,12
88,35,0,45,76,45
0,24,68,63,15,32
12,100,16,63,94,46
46,83,20,72,0,15
74,48,0,72,32,41
57,55,74,83,95,38
56,31,48,96,90,42
44,0,28,16,45,9
32,41,0,51,46,11
17,89,81,21,12,42
90,0,48,37,84,42
10,96,59,95,41,5
0,24,84,40,30,11
32,46,49,71,21,11
74,52,34,10,81,48
12,54,0,35,0,46
27,0,78,90,16,13
46,42,0,26,0,21
54,57,81,18,68,28
90,76,72,99,100,25
46,47,44,57,0,24
52,73,86,0,19,18
0,60,68,38,0,2
0,52,13,0,62,21
95,28,69,64,90,6
28,72,68,0,98,8
0,21,0,0,0,34
23,14,35,48,66,22
79,14,60,0,36,6
0,58,38,38,0,36
20,62,57,75,12,46
0,75,74,0,0,32
59,56,19,21,10,14
82,38,14,38,77,16
0,35,58,66,0,32
92,34,68,69,0,15
81,59,80,0,58,9
13,0,68,19,66,40
32,66,0,0,46,50
