40,5,53
2530,1786,2400,1796,93
57,27,78,56,39,34
68,95,0,91,59,10
13,87,85,0,78,32
42,14,56,0,83,24
44,53,93,18,57,17
20,0,15,66,24,47
38,34,55,53,18,9
97,77,58,0,68,48
70,59,0,46,64,25
44,58,91,23,36,41
34,69,79,0,72,40
46,97,60,0,85,18
85,67,94,0,83,25
51,35,39,83,73,2
68,80,90,44,11,50
48,0,43,81,12,35
13,21,53,78,96,11
15,0,98,71,90,13
39,50,22,45,81,43
53,100,42,0,82,12
91,0,10,0,32,6
72,52,50,10,18,43
86,69,0,96,20,41
32,98,57,63,82,35
11,0,29,40,52,25
95,17,0,93,23,27
16,91,0,69,56,47
16,12,37,25,61,43
52,18,63,44,96,27
97,0,59,42,91,31
96,44,38,42,77,37
13,87,13,0,52,26
72,69,73,67,53,12
12,25,25,92,43,29
54,0,47,79,25,45
84,0,49,32,21,48
91,78,57,96,93,13
84,80,34,99,90,40
48,0,0,70,11,10
82,75,10,31,66,45
