100,5,34
4552,8143,3307,6760,1956
39,35,56,84,0,14
23,19,96,99,72,25
64,86,74,65,66,8
22,60,89,70,85,40
0,92,51,55,82,38
24,13,96,47,49,1
55,69,16,66,95,13
33,49,47,86,21,16
17,95,85,76,46,16
0,61,65,27,98,34
84,53,60,24,57,48
0,44,95,42,63,9
96,30,49,95,98,25
68,96,41,100,71,9
99,30,0,60,80,28
36,50,0,90,0,1
87,64,31,79,19,19
0,36,22,83,16,29
85,60,39,27,32,32
0,50,0,69,12,38
64,52,41,81,0,44
23,75,28,17,0,32
0,71,0,29,97,28
47,16,33,88,50,24
75,98,0,73,100,14
37,93,78,40,32,13
59,15,89,60,49,26
18,16,38,45,76,26
44,67,45,53,0,33
60,42,43,95,96,25
42,83,58,79,0,2
11,54,0,16,33,27
98,82,68,41,23,47
69,34,0,100,65,27
99,87,53,79,0,49
0,84,86,81,85,17
69,65,0,51,0,48
59,37,79,99,93,50
26,45,77,83,53,44
16,30,47,39,79,21
64,85,63,42,38,3
0,27,31,36,50,49
43,13,0,85,28,24
0,88,61,32,81,5
0,64,90,47,26,7
44,53,78,26,70,49
69,60,0,10,89,11
0,86,51,98,36,24
21,16,99,53,91,20
94,89,47,27,74,44
67,89,0,67,84,22
10,37,45,87,52,25
78,41,44,97,52,11
23,50,58,42,92,37
0,74,37,93,63,47
15,34,84,63,81,6
91,73,85,39,28,20
0,10,17,47,19,33
0,60,70,95,0,28
50,96,85,27,0,8
54,24,51,23,83,40
70,97,34,82,53,18
14,78,28,79,18,34
17,69,35,49,0,36
74,14,75,38,17,47
37,25,25,39,15,10
95,11,17,56,91,31
78,20,65,17,65,15
62,82,0,71,0,45
38,75,0,57,66,49
45,53,0,49,69,4
66,14,67,78,23,31
32,94,56,47,0,37
40,83,82,77,66,49
88,46,0,77,68,47
100,80,51,96,65,25
0,87,12,88,53,30
16,49,0,70,53,32
10,40,57,32,29,48
26,80,0,42,28,16
86,94,45,72,51,20
23,61,30,39,0,30
31,97,62,24,24,10
64,17,34,80,0,8
48,54,66,98,11,34
23,82,77,45,64,9
61,76,40,33,71,17
34,31,91,67,68,40
27,70,41,81,28,23
22,28,11,90,0,4
0,12,0,48,0,25
23,14,92,39,96,16
29,37,62,71,17,13
38,59,30,36,28,8
41,46,94,89,57,31
81,60,93,16,19,42
0,31,0,29,33,32
44,70,17,43,19,34
11,64,58,24,44,31
18,27,49,86,69,46
