100,4,11
8065,5489,4784,3190
25,32,41,39,3
84,24,94,82,44
52,95,59,80,5
42,71,26,69,18
51,43,27,15,19
74,91,98,39,26
52,94,15,62,11
29,66,37,16,3
38,65,53,71,17
39,13,95,15,40
100,39,96,28,3
33,36,69,54,20
25,59,85,23,45
69,38,32,69,34
49,69,58,59,38
50,10,39,58,28
68,62,15,43,11
99,23,92,49,9
38,23,93,18,6
64,39,79,81,40
95,92,29,61,5
19,29,57,91,37
30,57,45,11,25
75,35,38,66,13
77,47,76,68,32
60,34,12,64,1
96,32,75,58,44
52,11,60,25,32
60,62,87,58,17
98,17,62,76,15
44,27,78,99,26
90,49,14,44,6
87,40,96,91,28
97,98,65,53,50
93,37,92,23,10
73,99,59,11,34
17,12,92,21,5
45,29,28,65,12
40,30,27,56,35
56,68,80,46,4
75,90,82,45,15
99,58,90,28,19
40,46,81,49,11
28,88,10,28,18
61,87,31,74,27
20,93,75,34,36
81,50,64,88,23
29,35,95,77,16
50,92,55,96,36
27,97,55,64,6
45,19,69,11,24
57,28,56,46,2
71,42,27,41,30
56,48,38,45,10
25,88,46,17,22
67,18,58,38,13
84,75,93,44,10
13,50,97,58,5
35,22,63,56,44
24,95,43,65,30
81,17,68,13,20
19,60,25,62,2
34,41,59,62,22
57,97,76,45,29
80,74,84,60,39
64,13,35,95,16
23,49,68,52,47
11,95,36,36,37
37,14,70,63,5
36,77,78,81,26
75,48,50,51,21
86,48,75,15,17
31,22,83,79,6
100,45,76,100,49
66,87,78,60,4
88,39,73,44,43
58,76,82,13,43
49,45,12,71,32
24,63,46,46,13
10,29,34,73,45
60,88,16,51,12
52,78,71,70,21
93,81,83,52,44
33,87,64,14,10
54,84,58,33,36
40,60,59,52,34
58,81,13,35,41
18,51,12,18,12
62,67,92,25,9
29,64,16,26,20
66,27,26,50,40
10,19,91,95,28
75,51,95,89,44
77,91,21,92,50
29,71,82,73,9
18,63,24,65,33
70,58,90,75,15
32,68,75,31,49
100,87,41,33,16
79,33,62,61,31
