80,5,48
5613,3466,4800,6122,189
68,85,73,27,72,25
20,0,76,63,94,31
57,18,74,35,16,42
33,88,11,21,70,50
73,66,83,23,0,29
11,65,47,67,51,46
87,95,61,84,29,24
91,39,57,55,89,34
30,92,54,44,22,15
93,0,71,73,74,34
46,0,91,33,78,8
52,0,64,37,0,45
62,58,91,45,14,48
46,67,78,37,0,44
92,29,60,80,63,18
49,92,80,61,61,12
51,100,87,78,80,24
10,0,59,11,27,12
86,14,42,94,47,42
59,97,27,93,0,27
60,76,18,26,10,15
48,12,22,21,98,33
21,12,30,50,66,47
59,21,31,63,39,42
61,55,72,32,84,10
86,96,90,65,10,11
10,12,48,38,39,47
33,72,56,33,59,18
42,15,95,79,13,39
83,22,14,87,23,49
88,80,58,86,56,5
40,62,67,89,52,33
20,59,72,24,42,5
94,0,95,61,85,8
76,100,28,25,37,5
82,0,74,23,46,13
57,72,16,46,97,14
39,34,37,92,27,21
78,68,29,86,0,11
10,29,22,37,55,17
30,42,49,92,32,15
35,95,45,89,95,23
45,68,55,64,52,32
90,18,78,24,68,2
74,22,14,94,96,30
69,0,72,60,50,35
95,80,34,23,39,31
46,96,46,53,0,8
90,0,72,95,85,31
38,99,82,68,65,48
60,11,62,48,88,11
36,20,71,18,57,30
23,46,66,10,13,33
37,18,88,39,64,43
50,81,62,52,74,38
13,13,46,54,22,4
46,40,46,18,98,33
36,29,19,83,62,40
53,89,43,41,0,11
95,62,44,32,36,30
73,87,12,59,33,32
39,0,90,24,38,33
68,41,87,71,0,9
30,81,54,95,72,15
98,87,13,39,36,33
95,87,13,38,0,11
79,77,57,66,0,33
36,19,63,17,49,29
45,11,77,32,0,21
39,70,78,32,50,43
54,59,58,80,0,19
89,36,82,90,17,28
30,89,94,45,46,8
10,14,69,96,0,33
85,53,15,64,71,4
14,36,77,79,10,12
68,65,48,27,33,41
39,53,47,70,0,33
51,0,55,63,94,5
75,0,64,10,0,40
