20,9,37
669,335,310,418,1236,395,463,1820,2129
76,75,25,42,96,95,0,16,80,29
82,45,0,62,68,44,0,42,92,8
0,59,57,64,78,0,42,89,0,24
23,87,80,24,97,0,37,60,41,27
0,34,84,0,51,23,0,53,0,22
0,89,88,10,57,60,0,85,40,2
32,37,84,71,87,57,38,51,0,16
46,42,38,29,11,50,0,16,57,18
57,76,91,86,0,0,0,24,38,16
0,86,50,85,43,0,0,40,0,47
0,77,73,13,85,29,52,100,0,8
0,36,26,71,93,64,39,98,92,22
74,40,29,30,22,22,0,93,0,1
51,27,84,60,69,21,21,88,0,28
0,16,60,90,81,39,0,57,0,29
61,89,93,56,0,71,98,90,75,19
13,62,0,39,90,80,71,61,32,33
0,55,70,32,18,21,22,37,57,31
25,61,44,11,64,0,0,87,0,12
0,32,0,84,83,11,0,47,86,11
