80,6,1
3815,4021,4438,2184,3849,1681
92,37,0,82,81,22,47
42,88,25,61,16,71,10
0,43,53,95,95,50,43
12,49,24,0,35,26,14
0,83,14,0,45,94,39
0,29,10,23,77,74,29
86,62,28,0,32,97,9
50,58,0,58,26,38,46
75,36,0,13,33,26,34
20,49,24,17,78,22,27
97,0,43,13,74,66,25
59,59,33,52,51,67,25
0,75,0,34,81,36,19
0,0,0,16,13,48,38
91,27,0,92,18,49,14
41,0,0,73,79,23,35
100,12,0,58,81,95,7
0,0,83,25,60,16,32
20,46,12,72,47,53,26
0,0,22,11,17,15,20
0,15,61,94,76,66,45
0,39,30,12,29,28,19
49,56,54,96,93,23,45
0,91,88,11,64,72,1
15,74,0,94,58,55,29
0,27,31,65,54,52,45
0,91,90,92,93,46,2
0,87,72,86,25,52,37
17,0,0,28,44,53,27
0,87,17,92,33,61,12
0,13,22,76,51,83,35
49,34,60,14,30,84,42
15,0,82,27,61,93,46
0,83,53,97,72,94,41
0,65,88,34,32,43,29
64,17,19,0,27,39,39
0,50,14,31,24,97,24
64,66,76,76,50,97,9
13,58,86,0,84,36,43
0,35,32,19,73,45,17
86,96,35,56,72,71,29
0,95,77,16,25,31,29
0,0,18,97,42,56,49
45,0,77,23,28,63,14
18,36,95,88,76,77,13
85,64,40,98,56,18,32
0,60,55,68,74,97,38
72,46,89,40,97,12,7
96,0,0,0,56,89,27
45,36,77,48,31,37,35
12,54,0,25,89,68,8
0,80,45,50,99,25,34
44,59,65,54,27,39,9
0,60,63,11,65,63,37
72,0,62,0,65,64,11
0,96,0,15,31,32,23
71,91,90,47,23,65,6
15,11,36,24,29,85,43
15,46,53,88,41,86,32
91,76,65,0,94,39,33
34,70,42,25,60,30,28
81,19,0,16,57,21,18
23,32,87,70,100,40,34
48,51,96,87,55,69,30
33,50,27,74,87,49,24
33,42,0,23,42,50,43
0,0,38,85,91,94,2
84,0,17,0,20,73,44
14,100,27,0,37,31,36
64,95,0,65,49,71,10
0,81,80,13,62,39,26
88,23,0,87,37,51,30
0,12,81,50,84,42,39
39,69,69,93,96,47,37
76,78,69,35,97,82,1
0,25,11,70,87,63,38
39,73,0,0,59,20,47
0,81,68,66,13,34,23
17,91,12,0,80,27,21
80,86,52,85,99,96,37
