20,9,45
641,218,267,363,245,348,433,298,2729
47,45,0,36,83,15,39,16,0,39
0,13,98,0,31,80,49,0,0,19
0,58,0,0,38,65,39,0,40,28
0,48,56,0,46,98,36,0,0,15
26,93,32,11,16,58,81,0,82,28
42,67,64,29,62,63,96,35,0,17
59,89,0,19,86,97,37,0,16,42
46,13,53,0,99,91,81,20,0,4
39,19,21,51,45,26,81,0,0,31
0,82,72,10,93,43,37,34,0,16
64,0,20,0,0,15,86,49,24,37
54,18,0,0,79,100,62,0,0,46
0,23,0,0,25,77,64,72,0,31
27,81,58,96,13,52,29,73,74,25
0,38,47,59,86,34,61,0,0,6
0,44,33,0,25,91,75,0,21,42
31,100,19,0,36,42,33,39,0,5
0,22,23,0,0,13,25,51,0,13
0,94,10,0,57,29,16,0,0,34
0,12,52,84,89,87,30,0,0,17
