100,4,4
7460,7288,2945,2455
87,30,45,88,30
18,57,94,36,39
16,71,81,74,41
19,24,64,38,40
51,23,11,100,6
81,28,10,10,24
45,18,70,94,41
88,24,69,75,29
16,94,100,69,12
18,33,95,42,12
86,47,87,36,32
16,41,56,39,25
46,38,57,50,20
46,33,68,21,43
87,81,91,51,2
16,50,41,41,14
21,60,77,27,7
51,95,96,41,41
43,12,46,47,49
76,25,12,63,41
59,10,35,26,14
70,99,71,80,21
15,34,40,88,7
63,54,59,27,10
24,50,47,17,50
31,69,55,11,7
47,65,40,46,37
58,21,69,87,49
10,89,24,53,37
31,56,54,93,15
86,27,13,29,44
20,34,69,66,29
30,18,28,100,21
65,84,25,18,3
93,40,52,54,35
68,91,24,52,30
35,90,14,93,1
99,68,21,40,9
100,77,70,93,20
10,62,83,11,13
75,24,22,72,26
50,23,98,38,17
53,84,79,90,7
82,26,14,79,30
80,22,85,58,26
100,84,20,17,49
57,90,88,89,8
86,39,77,79,12
30,64,20,46,50
56,75,88,97,43
95,53,50,34,26
77,87,26,87,45
95,64,77,62,48
93,70,41,20,47
68,82,86,18,3
97,60,97,32,41
67,55,18,52,33
21,72,50,27,10
17,44,100,88,29
16,87,77,62,23
72,79,37,29,20
54,29,46,16,36
13,27,84,32,29
81,63,23,66,7
82,33,62,62,21
24,43,47,81,33
17,32,15,35,36
21,92,57,18,12
60,21,43,38,23
26,59,27,31,50
66,10,10,29,49
68,92,57,10,5
73,62,89,49,4
69,14,17,25,39
77,100,57,27,30
53,68,82,20,21
23,76,89,68,31
79,70,34,18,42
53,59,22,53,48
52,11,62,72,35
91,16,66,72,39
16,71,86,77,15
13,10,44,71,14
67,64,69,57,29
77,74,16,29,17
96,63,69,71,1
64,23,49,75,37
87,21,74,62,36
12,33,93,23,7
36,17,43,14,8
63,74,83,77,5
36,25,77,34,31
12,73,23,67,1
52,49,10,87,40
25,61,79,80,40
98,84,53,35,13
18,12,26,28,30
47,24,86,73,33
64,99,19,76,12
57,73,13,19,21
