40,5,21
2337,2090,1503,1932,1851
75,88,56,65,75,9
73,71,84,63,22,22
95,29,29,21,97,24
56,37,72,19,81,42
77,44,74,0,81,36
24,89,24,91,56,14
38,66,17,30,52,31
67,0,11,46,76,42
66,22,65,38,70,18
13,48,70,0,79,31
55,95,68,78,15,21
21,85,60,48,31,15
97,18,15,48,49,11
83,33,66,91,78,9
38,61,25,96,53,20
45,80,34,55,44,26
62,0,90,81,72,17
68,10,60,0,72,46
48,79,13,0,93,2
21,17,41,0,10,6
73,91,85,51,39,33
22,20,36,97,54,33
64,32,81,70,20,43
43,0,40,0,68,18
14,98,27,92,71,29
49,92,34,87,43,4
81,17,35,74,89,23
14,0,75,68,68,42
89,71,79,38,29,9
21,0,43,18,71,34
26,34,91,84,83,5
44,87,29,27,47,29
47,84,33,56,50,32
52,54,73,14,84,33
30,25,66,83,88,28
75,40,89,92,82,15
94,86,26,0,17,20
70,67,39,0,20,10
89,58,48,0,100,30
10,0,90,17,45,18
