60,4,56
4541,4455,2233,1083
15,37,77,55,37
88,79,23,13,1
11,79,96,95,19
71,27,81,84,46
38,56,78,81,44
51,17,87,97,16
91,59,19,69,47
27,21,24,99,42
35,84,71,78,45
73,46,99,100,33
10,88,66,53,12
85,51,74,74,37
48,29,95,78,10
11,54,87,89,44
24,34,46,32,5
74,83,96,78,9
97,14,45,52,50
69,28,99,15,17
55,46,72,96,27
56,73,50,10,18
87,15,66,74,29
78,59,53,42,25
83,78,49,46,21
43,24,81,12,17
61,40,78,14,19
85,13,56,65,31
43,99,79,68,38
25,63,80,67,45
19,80,36,70,50
97,62,66,58,25
65,32,80,11,17
28,94,68,47,7
71,57,31,29,5
76,19,22,49,20
26,78,58,74,29
90,64,13,92,41
55,85,95,35,10
18,32,44,47,3
12,71,62,19,16
83,11,71,77,15
71,92,86,81,49
46,38,56,82,33
14,43,34,15,14
93,67,37,48,35
30,17,41,92,15
75,63,68,13,26
67,40,93,54,25
71,34,89,96,22
83,36,36,63,16
35,90,84,31,2
71,25,28,99,23
41,63,68,100,27
48,50,65,76,17
36,71,65,66,8
82,75,49,37,1
74,81,58,74,29
76,22,14,34,42
49,44,17,21,11
82,31,98,15,7
47,92,55,71,48
