40,4,25
2720,2154,1869,642
14,83,88,82,22
77,96,20,13,14
81,28,67,89,7
11,66,54,36,15
71,72,63,60,34
18,15,85,89,19
59,77,46,100,24
90,57,94,13,50
18,15,66,38,20
51,35,22,19,41
88,18,15,61,8
33,65,74,20,43
41,97,50,98,19
39,78,69,58,42
49,10,64,65,19
79,44,57,75,6
88,15,55,86,6
93,35,34,64,36
30,79,31,92,34
36,31,85,98,1
67,89,97,94,18
71,96,33,47,44
65,90,28,41,35
46,27,55,38,34
83,77,20,69,36
67,13,42,15,43
63,36,57,23,38
100,37,62,16,32
24,68,21,80,40
20,31,35,78,21
76,47,41,22,17
63,29,47,13,25
87,35,55,78,1
51,27,78,37,21
62,48,55,75,15
66,31,35,47,38
50,49,66,49,36
33,69,10,37,10
25,35,98,13,48
45,37,46,59,4
