80,4,29
4515,5937,3599,2728
76,91,18,75,34
94,96,28,74,21
11,16,90,60,23
35,93,73,78,17
22,94,62,37,18
12,53,82,79,45
89,20,45,100,18
53,92,39,25,31
51,27,75,70,30
65,28,17,21,19
63,14,93,54,27
82,19,32,48,43
70,42,25,28,24
71,57,25,100,31
17,94,48,62,23
81,89,67,81,24
51,91,51,56,8
86,55,71,25,43
66,61,40,54,37
25,28,87,80,25
15,60,96,77,26
83,56,91,75,23
98,31,40,80,47
55,74,19,80,13
92,18,29,24,38
66,98,52,25,8
61,65,20,63,25
92,16,84,38,24
18,77,76,78,29
60,39,58,91,26
41,35,98,98,22
21,19,33,14,24
31,68,94,26,46
97,57,76,86,2
20,35,15,19,25
81,100,10,78,3
78,97,16,36,30
47,10,87,99,50
46,22,45,17,25
16,91,44,54,28
29,66,49,100,22
35,54,10,34,12
13,60,12,89,43
96,85,51,59,50
92,60,66,66,21
84,98,18,90,33
17,18,34,49,28
55,50,97,52,37
67,95,67,30,33
45,98,52,80,28
95,81,98,40,17
33,15,40,28,35
16,48,98,67,12
13,11,80,23,37
65,25,55,66,6
30,89,32,48,45
53,70,13,65,46
27,74,68,62,8
28,35,49,34,32
68,18,84,74,10
74,95,45,22,49
54,60,56,65,37
74,37,12,75,6
38,80,15,39,42
64,20,45,48,22
88,42,54,24,16
10,50,27,80,18
42,96,97,99,49
79,54,58,77,39
64,61,62,89,40
16,71,96,46,5
37,50,90,69,19
55,84,29,64,31
55,45,22,11,50
19,79,95,80,49
60,61,22,46,25
65,26,20,85,6
100,12,69,14,6
24,71,71,84,41
45,25,37,73,9
