40,6,48
2592,1793,1864,1981,1327,536
0,82,52,40,0,29,29
68,67,72,90,0,85,33
18,34,96,66,95,11,30
0,47,13,45,0,13,28
73,43,23,82,0,83,39
62,33,0,81,64,67,30
68,26,77,27,26,22,48
0,0,53,21,81,59,41
27,23,43,76,14,0,30
0,0,0,78,93,63,18
100,86,0,75,0,90,45
58,97,52,14,0,59,5
91,0,92,67,29,0,34
0,47,28,17,94,67,9
89,0,78,70,27,84,11
82,43,0,10,72,0,22
85,0,57,88,91,61,5
86,0,57,55,40,67,6
0,0,0,46,64,81,38
85,39,0,54,96,89,7
85,0,67,76,0,53,32
0,38,54,48,47,96,4
0,48,0,54,0,53,10
0,0,0,77,36,32,23
99,0,79,31,93,77,22
40,88,51,26,0,83,7
21,83,62,22,60,67,18
65,0,30,74,34,63,36
76,0,55,54,96,39,3
0,83,58,89,100,21,27
100,31,0,98,74,59,21
92,64,0,44,0,23,18
65,60,97,77,11,40,9
27,42,0,68,0,25,4
20,17,98,58,17,0,12
57,0,0,39,98,86,23
0,71,0,97,53,0,42
0,45,18,41,0,70,36
0,99,88,76,91,97,38
65,54,78,75,58,80,30
