60,5,20
3373,1850,1645,2777,6943
83,27,90,61,95,5
0,69,41,87,77,21
63,84,59,35,89,3
27,99,23,62,19,42
89,97,52,97,17,40
32,17,37,64,62,34
20,55,85,72,49,20
41,46,79,89,52,33
0,80,86,27,96,31
24,72,63,59,74,40
18,63,26,60,23,22
93,37,59,93,89,23
29,57,99,46,28,29
48,98,91,31,98,19
42,41,87,97,15,11
98,20,13,23,24,31
0,33,26,65,79,38
58,66,33,62,75,2
54,100,35,87,58,15
99,29,24,34,31,23
66,86,57,28,83,17
43,95,79,43,25,12
25,96,38,91,22,12
78,14,93,80,23,11
92,63,21,11,66,5
88,82,58,80,41,13
20,37,17,20,53,12
68,15,59,67,27,37
89,92,43,56,55,39
21,45,95,10,34,7
74,77,47,99,67,3
91,39,74,75,14,13
93,56,42,74,84,5
66,83,20,66,24,23
95,74,34,42,42,27
36,57,94,21,73,20
0,94,56,40,11,1
0,67,47,29,19,35
11,95,53,55,49,47
0,61,95,96,90,34
98,43,59,64,27,33
90,100,90,64,30,39
71,47,46,65,87,47
45,12,33,52,74,30
41,44,20,46,11,10
75,87,49,88,27,49
14,25,81,54,80,45
69,74,58,26,19,20
31,86,91,21,61,48
80,59,41,25,34,21
95,12,60,82,37,24
49,19,35,68,57,37
19,78,32,98,19,22
0,68,11,56,36,8
72,96,47,89,48,30
40,77,50,61,67,13
78,86,41,64,29,26
63,14,93,73,23,33
0,84,100,88,89,6
57,16,83,66,75,32
