100,4,41
8051,8277,5288,649
89,31,93,96,31
35,66,73,34,9
84,60,90,70,34
33,66,99,82,15
64,33,27,71,50
81,50,74,20,46
59,13,81,74,1
17,25,65,75,1
64,97,77,73,5
91,34,78,81,50
75,79,98,57,50
40,70,46,72,7
99,77,24,63,22
28,16,47,28,13
84,42,38,74,8
33,16,50,53,29
19,38,42,12,18
24,22,63,98,30
45,48,45,57,5
52,10,69,51,15
47,83,43,37,24
29,77,88,92,38
47,64,71,66,10
30,33,27,71,2
36,12,45,98,23
21,23,50,40,19
84,37,97,88,6
73,19,53,15,18
87,56,77,10,24
45,77,49,16,20
65,33,11,28,28
67,51,23,58,20
53,14,95,64,11
58,45,84,94,12
34,13,100,41,5
99,49,35,81,20
27,21,54,88,22
89,74,100,21,23
92,100,58,35,21
50,41,56,94,1
40,16,37,15,28
73,32,28,43,40
90,19,71,79,6
30,65,75,50,41
86,67,60,72,18
10,53,72,15,46
36,30,99,66,40
73,89,58,63,34
11,80,42,55,38
59,54,41,85,29
25,49,55,32,48
41,75,16,80,31
46,44,28,29,15
65,13,33,64,45
52,64,69,20,5
69,57,42,60,2
29,91,59,99,21
16,14,66,49,3
31,53,58,76,35
95,79,56,78,40
58,44,54,91,20
26,99,87,50,6
79,20,58,68,41
79,27,37,19,27
41,63,98,62,19
78,39,60,67,13
96,98,66,42,14
16,66,43,84,12
39,63,74,99,41
91,78,36,20,29
97,57,54,36,32
89,74,42,53,38
57,98,73,53,4
15,63,30,75,47
60,57,35,77,7
39,83,82,50,19
26,52,87,54,49
47,86,77,30,47
99,11,45,78,3
64,45,27,81,13
36,23,38,49,25
91,71,74,35,43
68,93,40,10,16
67,81,73,28,8
53,98,44,27,36
46,36,44,37,16
90,33,90,64,21
28,94,71,50,19
54,78,11,76,26
34,61,95,14,2
32,96,68,67,27
53,100,73,20,48
75,98,86,11,20
82,55,67,39,25
48,96,86,84,30
67,83,13,49,16
69,92,28,52,36
37,74,65,86,30
67,54,68,33,9
10,63,73,48,7
