40,5,68
2754,2687,3155,1596,145
27,28,37,0,84,20
80,73,85,42,59,23
91,77,77,71,88,47
81,16,46,69,34,17
42,28,19,33,45,38
17,12,63,42,17,17
65,26,100,65,54,3
0,38,100,0,60,14
28,29,87,70,46,35
0,83,91,75,16,33
0,50,70,0,64,50
52,14,97,0,84,34
16,26,87,83,87,13
10,75,12,67,51,33
0,58,15,94,24,29
0,86,68,22,80,39
90,61,73,0,60,4
0,10,75,99,65,48
56,100,11,29,62,27
94,97,72,73,88,16
29,33,28,16,60,4
75,29,11,0,90,6
24,95,46,0,76,27
96,64,85,0,61,19
23,19,92,42,31,21
95,44,72,44,61,33
91,91,18,61,56,23
87,92,43,87,78,26
14,12,50,96,83,5
25,88,93,84,17,2
36,56,72,0,20,3
81,74,15,92,13,21
57,83,61,14,54,37
65,36,44,70,97,8
0,94,50,0,89,50
78,90,65,0,85,49
99,29,37,0,66,26
14,88,46,100,66,29
86,86,39,56,35,21
13,10,52,0,58,27
