80,16,45
3024,3335,4336,2887,3762,2385,6118,5942,3393,3470,2082,1892,2337,3453,2844,1873
30,0,55,100,0,26,0,98,73,49,0,33,29,70,68,0,21
85,0,96,0,14,0,53,15,61,20,19,0,67,86,0,46,35
99,30,32,91,79,0,69,64,83,31,81,47,29,10,0,48,4
0,43,71,0,54,62,21,50,62,34,35,53,34,0,92,0,27
0,62,66,92,22,23,42,73,20,100,18,50,54,0,76,0,35
0,43,37,50,14,0,39,34,79,72,0,97,15,10,16,94,14
32,66,79,0,37,71,94,43,60,33,50,83,24,71,57,31,41
87,78,46,37,13,60,76,39,90,77,18,0,96,37,93,0,37
51,81,50,23,0,0,32,74,64,18,0,0,91,22,61,62,17
24,54,26,26,0,0,87,14,91,86,98,56,76,78,32,70,7
31,0,81,0,71,16,11,71,74,86,31,12,21,68,77,84,19
55,85,43,24,0,0,38,24,0,22,89,36,14,21,95,56,17
69,19,10,64,62,15,65,44,56,17,10,75,0,44,43,0,19
43,26,0,0,91,33,93,80,42,44,55,53,66,93,60,57,32
93,0,16,0,86,0,73,99,40,0,27,57,46,51,41,19,18
33,81,16,37,13,0,28,47,90,0,57,0,84,26,35,11,30
42,0,49,0,15,0,79,53,72,76,83,91,97,14,72,0,27
14,62,32,0,57,15,68,54,27,0,55,0,59,36,74,90,32
0,73,0,0,0,0,22,16,94,77,11,0,46,10,10,57,47
15,25,17,0,73,0,78,24,98,32,37,0,37,41,39,0,28
0,87,44,69,26,61,0,29,92,34,37,70,79,0,35,62,14
40,0,0,0,12,23,95,83,64,89,50,49,99,55,35,96,42
0,0,95,41,65,0,83,91,89,100,23,0,71,99,54,64,47
27,0,53,0,0,55,81,70,56,32,79,32,96,89,52,0,20
93,80,0,63,64,0,92,56,77,75,22,35,37,47,55,0,15
33,18,0,88,39,0,52,64,44,84,33,0,54,89,83,48,39
0,0,61,31,12,43,42,99,64,49,0,0,98,83,19,0,37
15,38,83,45,24,69,50,60,84,32,44,72,70,81,70,15,14
0,65,40,83,39,22,40,37,12,18,0,94,29,14,90,51,3
46,100,85,0,43,0,67,66,19,82,12,71,0,14,36,24,41
16,0,64,29,0,0,89,36,37,53,75,91,75,88,16,0,8
0,55,30,55,99,97,46,54,0,20,56,74,93,42,0,0,20
33,82,0,80,67,44,85,76,26,98,84,0,69,64,61,47,44
70,77,92,62,48,0,28,64,95,45,42,47,77,92,17,97,21
0,0,32,0,54,92,30,29,40,90,40,75,32,22,0,75,10
30,93,59,78,0,0,16,18,39,62,19,77,91,47,60,25,49
0,67,0,98,0,15,67,72,52,58,25,67,58,0,100,0,35
67,0,12,98,0,95,76,61,0,80,82,55,60,76,24,40,34
13,25,0,19,57,0,27,74,17,12,0,0,10,38,0,88,50
28,70,55,0,0,0,42,74,0,42,89,73,66,11,29,98,40
34,91,52,0,0,0,28,14,0,89,16,19,35,93,26,23,38
46,27,58,86,0,0,25,38,26,79,14,16,95,59,73,20,4
84,70,96,99,20,0,82,10,60,59,72,38,12,23,69,60,49
0,83,33,0,33,94,46,51,10,55,28,98,45,20,19,55,13
52,24,67,54,54,0,67,47,77,92,66,0,50,13,0,70,13
100,0,50,0,10,78,100,60,25,0,47,68,11,43,54,0,21
0,0,92,38,23,0,22,23,46,79,61,25,0,0,0,0,4
86,61,0,30,36,80,24,52,70,35,79,0,70,87,43,46,31
0,66,37,42,29,22,28,66,81,52,32,29,37,0,17,86,5
30,0,79,0,0,0,33,99,99,96,81,0,14,40,76,0,9
58,52,0,59,72,38,82,46,50,91,73,44,0,72,71,0,6
49,35,69,0,0,0,52,45,51,42,29,0,36,89,42,67,16
61,21,0,0,67,75,32,46,45,79,89,41,54,85,88,20,24
53,76,25,0,86,39,73,27,0,42,72,77,70,13,54,40,12
50,85,0,0,0,0,26,31,81,26,87,0,41,97,52,0,39
23,0,0,55,32,0,88,62,46,33,43,0,50,0,47,0,21
10,58,0,0,0,69,57,85,77,98,30,57,69,19,46,82,17
44,34,0,52,39,62,82,59,51,49,46,60,34,56,77,11,19
14,11,25,90,42,0,93,91,27,27,99,100,62,53,0,96,41
75,32,84,20,54,0,73,86,40,42,71,95,52,100,44,0,46
22,0,77,0,16,50,42,14,19,32,11,91,12,100,31,57,8
19,38,69,41,95,0,11,31,0,65,73,50,10,87,27,50,48
24,72,31,0,44,0,63,28,60,50,28,88,0,59,34,0,47
46,79,23,0,44,0,40,92,56,93,24,71,28,77,88,65,23
37,0,98,0,0,0,87,94,43,100,63,30,43,41,63,0,45
48,45,92,74,0,0,41,32,73,25,93,11,18,95,27,0,15
0,85,31,53,0,97,95,54,93,24,68,37,78,38,92,0,46
16,0,55,0,85,0,30,94,0,43,47,0,28,32,84,95,30
54,49,84,96,0,76,0,16,41,29,33,32,89,82,69,0,13
95,0,0,32,0,41,41,50,21,53,81,11,0,44,80,45,22
28,74,92,0,86,0,38,17,44,16,59,17,21,33,86,0,36
37,15,63,0,92,0,0,67,45,82,79,34,43,32,73,100,21
82,92,0,15,38,0,48,77,15,27,0,48,90,34,10,76,18
41,0,0,0,0,0,32,65,0,77,29,69,52,57,52,74,26
100,82,0,0,0,94,77,88,100,61,100,93,64,26,23,0,2
20,19,0,0,0,100,95,59,27,16,24,46,82,84,39,0,26
62,35,0,58,0,74,64,59,52,20,74,98,41,61,71,72,4
0,0,42,73,0,0,39,37,47,58,81,28,100,13,57,37,10
61,18,77,28,59,0,0,36,26,41,65,61,36,35,10,0,16
27,34,35,55,70,0,87,71,92,27,84,69,94,96,0,0,35
