80,5,47
4797,6666,3757,2525,227
81,93,46,0,0,5
28,35,95,36,29,42
36,100,29,0,45,18
29,70,84,20,38,7
47,63,41,100,26,33
10,97,11,91,14,23
70,60,71,69,98,25
44,89,29,52,57,49
52,38,42,20,0,49
83,62,30,28,33,46
77,93,53,0,34,25
28,72,37,0,82,38
19,35,68,39,10,10
26,23,83,44,0,35
44,92,47,13,77,33
50,33,61,93,90,30
57,43,32,0,0,17
98,84,47,21,80,29
47,41,67,75,83,16
50,65,18,0,40,23
58,21,14,20,49,17
70,71,84,0,0,21
78,49,60,41,24,1
29,88,98,30,0,29
76,57,73,80,41,32
92,43,22,62,0,48
33,72,58,14,61,24
46,57,12,50,69,39
29,63,59,10,83,42
33,27,10,69,0,13
19,98,15,41,69,33
17,73,18,0,0,34
46,88,64,33,79,2
32,63,95,53,88,19
36,81,53,78,0,17
57,95,70,36,12,7
69,39,30,48,52,49
63,60,69,12,80,38
58,64,13,45,69,29
100,46,29,92,34,9
48,80,84,12,25,24
63,95,74,24,83,22
45,87,23,0,46,41
46,100,59,84,0,8
53,63,100,15,30,19
65,44,16,16,95,34
77,48,64,65,15,49
78,100,46,51,57,47
97,70,37,37,0,50
22,37,77,31,94,24
12,82,76,0,26,36
84,68,41,0,99,13
11,71,69,63,0,26
14,20,97,85,20,2
39,17,77,57,89,11
70,31,35,0,75,20
88,89,11,0,16,10
13,34,70,90,49,37
72,34,49,48,0,29
84,44,64,28,0,44
42,27,10,81,0,35
44,33,10,99,86,26
81,82,20,63,91,36
48,65,11,0,64,6
37,22,12,81,77,19
63,33,50,67,0,37
88,34,23,59,81,35
68,13,97,12,65,24
42,89,47,72,100,33
15,92,55,0,59,48
62,89,28,93,93,4
22,37,62,52,23,40
58,54,52,29,14,39
12,72,29,0,41,27
30,48,69,99,0,13
94,87,57,31,88,9
15,55,48,96,19,49
42,65,82,94,60,5
63,16,14,57,0,48
87,62,56,0,0,12
