100,4,12
7242,6019,3430,1822
49,93,76,64,21
10,86,100,78,37
95,31,82,78,33
18,55,49,83,7
61,68,88,30,20
91,76,18,95,35
18,37,84,12,42
83,71,74,12,16
66,55,66,36,19
45,30,34,69,29
21,54,65,19,16
92,14,49,37,25
82,35,69,22,10
68,39,46,46,18
68,27,42,23,33
44,70,55,84,18
94,89,55,46,4
22,64,47,88,24
28,88,83,36,30
80,99,40,35,16
45,17,68,53,23
27,99,46,47,36
90,88,89,86,43
44,31,26,57,47
20,11,30,86,32
36,80,55,80,24
29,72,88,94,50
12,34,18,82,24
58,88,17,41,20
35,72,73,32,23
74,17,92,35,11
50,11,59,94,12
98,25,78,24,46
49,46,93,25,18
38,30,53,98,27
66,72,13,70,44
41,83,61,54,43
58,25,89,56,39
61,40,63,73,27
27,87,52,100,36
18,22,50,74,12
79,80,64,67,3
39,46,40,40,24
60,38,63,71,7
81,91,51,60,8
63,31,21,86,31
56,57,11,21,48
93,28,15,22,13
96,25,81,68,27
34,82,22,55,44
98,45,43,17,22
74,59,27,100,50
68,22,25,65,37
56,58,84,55,41
45,25,54,78,40
67,36,63,74,44
63,81,52,83,48
96,33,57,42,42
49,37,92,79,41
14,10,56,49,47
69,41,10,43,6
35,83,40,54,43
70,44,97,78,13
46,43,95,62,34
50,43,78,74,18
17,54,95,17,32
99,78,32,77,1
26,85,16,74,3
45,19,73,13,39
12,79,84,35,24
87,93,16,71,18
44,82,95,63,2
35,82,27,14,33
99,25,78,53,25
38,87,61,55,50
50,94,79,78,44
41,55,20,28,16
73,74,77,92,26
48,96,90,51,16
11,87,38,51,19
50,80,65,93,3
96,32,89,34,43
73,34,68,20,44
35,83,72,90,43
14,79,72,12,10
18,66,76,87,48
51,90,16,59,13
55,55,86,29,28
31,23,57,34,44
41,22,75,69,21
79,93,75,19,43
56,25,95,25,18
62,27,12,60,11
78,88,88,97,50
98,87,78,10,11
34,15,82,81,32
53,81,71,43,8
11,58,35,83,6
12,42,65,56,10
98,37,44,94,45
