60,6,68
2762,3246,1920,2180,2549,2352
61,50,0,83,25,65,31
97,37,20,24,67,96,42
46,0,0,77,62,95,2
83,17,57,15,95,38,49
71,66,43,85,87,86,41
41,54,0,68,92,12,34
0,79,71,59,88,12,43
29,97,77,19,58,97,12
0,82,15,20,81,57,21
0,67,10,87,17,45,12
66,11,24,71,57,54,12
35,23,87,0,91,23,15
0,35,69,59,89,38,41
93,16,0,79,89,12,45
74,77,18,79,87,35,39
0,76,68,14,68,43,44
63,70,41,23,45,55,46
49,94,98,35,11,44,48
30,73,46,41,39,39,47
53,51,0,49,33,53,46
0,59,0,44,56,45,14
0,99,0,80,41,71,21
0,0,91,39,35,64,11
41,25,0,35,77,71,33
21,92,98,0,75,12,44
0,14,39,42,49,95,6
68,0,22,60,20,43,42
0,0,63,92,31,98,45
53,0,0,0,42,75,23
52,91,0,61,23,42,9
50,63,20,73,97,39,8
88,32,65,38,35,56,2
0,61,0,18,33,83,43
24,80,0,15,15,72,36
92,93,38,49,58,50,28
65,50,14,0,73,37,45
55,19,0,68,66,15,40
57,13,29,77,91,81,32
93,100,0,30,28,40,26
83,72,11,52,87,49,28
17,42,16,92,11,28,26
13,93,39,97,72,93,36
28,0,0,49,23,37,36
90,41,28,26,90,55,35
79,40,0,88,100,47,40
78,43,17,10,26,47,11
90,13,76,65,96,85,8
44,0,0,42,74,73,31
87,83,94,73,86,71,5
62,64,0,70,58,13,49
91,80,0,69,87,17,34
52,98,0,0,16,81,6
0,17,0,0,41,29,33
13,0,23,59,49,66,20
13,62,0,27,74,21,7
57,88,81,66,63,42,15
0,14,0,31,97,30,23
24,37,59,0,99,80,1
14,0,0,90,87,82,29
32,15,48,36,78,21,28
