80,4,64
4673,5476,3718,3100
51,42,47,51,24
77,66,12,14,23
76,41,71,87,24
80,60,82,79,24
56,17,19,95,19
88,57,84,44,36
11,41,25,10,13
94,45,43,59,28
53,29,67,72,28
10,86,75,71,3
19,57,55,50,3
88,57,65,13,29
42,45,56,23,11
19,16,72,24,14
64,25,48,26,43
86,39,73,53,11
15,80,57,42,34
75,69,93,53,43
99,41,46,17,12
36,95,12,67,2
77,81,82,19,41
58,10,67,60,27
43,36,10,35,49
35,46,33,80,35
46,100,81,20,35
40,34,92,44,33
23,27,48,13,29
25,25,51,95,42
36,27,43,38,11
53,38,12,29,41
33,21,80,28,29
35,50,36,98,25
59,92,59,10,30
37,99,23,46,17
19,17,40,27,35
15,56,68,60,8
36,79,53,20,44
88,21,72,61,7
17,69,23,41,28
87,91,100,74,12
79,72,70,74,26
63,18,55,32,9
63,57,50,74,35
76,99,19,70,14
28,89,92,41,23
53,15,31,18,37
45,22,78,97,24
82,41,86,98,48
15,93,39,62,22
60,10,88,73,45
57,21,52,24,32
51,26,82,56,23
92,51,49,17,23
95,41,25,57,7
79,99,50,95,13
40,65,14,13,46
96,35,99,69,13
58,72,95,89,22
35,50,53,79,22
41,36,22,15,37
70,42,73,13,14
85,84,72,68,9
21,15,20,54,20
77,33,32,52,14
86,30,98,47,22
64,84,10,71,37
78,64,36,43,1
31,34,66,17,1
39,31,69,46,5
14,68,76,26,24
78,64,78,25,7
73,25,27,24,10
80,93,34,99,10
44,84,69,81,1
18,13,23,90,50
80,83,90,96,8
29,60,12,61,1
68,39,82,80,8
60,25,18,44,8
30,94,93,99,43
