80,6,45
4518,4771,5859,2079,3188,1970
58,26,99,52,0,35,6
0,92,20,18,55,37,22
0,21,16,83,53,99,7
0,19,10,25,0,71,34
44,85,42,91,63,33,50
82,49,58,58,71,0,48
69,32,65,42,97,21,33
83,76,32,0,74,70,31
18,55,56,90,26,20,15
80,74,77,36,98,0,34
44,82,71,96,74,36,49
67,39,81,25,41,71,50
65,30,52,71,90,51,36
63,52,83,52,38,18,11
62,56,11,24,22,71,26
0,67,76,63,0,76,45
54,26,44,92,58,47,6
0,51,63,0,58,46,10
36,30,12,76,59,15,25
19,26,67,0,61,69,36
98,100,95,60,0,0,14
50,90,10,10,29,58,3
71,68,94,57,25,46,6
78,88,44,0,0,0,38
10,15,48,100,16,0,1
0,48,97,93,15,77,46
85,15,74,18,74,56,35
0,51,63,30,97,39,36
25,46,35,82,55,17,25
89,75,67,53,66,70,11
90,70,26,0,52,10,42
92,78,28,83,64,0,9
37,23,52,0,22,16,29
92,78,51,0,93,22,13
20,76,46,14,0,0,41
22,85,99,38,64,0,9
37,92,47,45,68,0,48
87,11,44,85,57,48,33
0,97,70,0,37,81,43
26,39,46,28,45,68,23
0,49,46,0,0,31,49
89,58,63,22,0,15,40
18,35,90,50,85,21,18
17,76,18,51,14,95,11
46,14,23,34,17,54,32
96,90,23,91,91,0,27
39,91,52,0,100,51,9
31,70,87,0,0,61,49
99,69,86,63,29,60,49
47,47,19,44,46,39,38
12,39,34,66,47,56,2
12,43,60,71,0,35,46
61,98,90,84,74,35,31
0,40,59,10,14,83,18
82,53,53,11,17,45,28
82,21,47,31,62,54,35
18,72,14,86,88,66,11
57,76,68,63,45,34,32
15,13,63,33,41,71,47
47,94,18,40,32,53,26
43,59,96,99,62,23,36
98,87,61,37,0,10,21
95,19,51,32,95,78,34
82,76,18,90,48,47,28
46,84,13,56,91,43,12
61,47,33,32,0,39,38
58,13,57,0,80,78,7
23,19,96,91,68,32,32
95,84,19,41,96,0,37
0,12,97,59,36,70,10
77,42,34,0,45,61,43
0,13,86,47,0,92,34
0,72,12,20,78,94,15
95,95,47,12,15,63,47
55,16,100,50,46,67,6
42,36,47,92,0,29,10
34,65,80,0,75,20,26
37,43,49,0,0,78,5
89,39,38,85,12,69,17
70,97,22,23,78,47,22
