60,5,19
4777,2013,3096,3186,658
75,46,0,10,17,48
79,42,74,56,71,20
21,79,59,40,31,39
29,85,17,58,0,31
49,64,84,21,70,14
57,55,14,18,55,38
49,67,89,86,0,16
40,47,13,46,41,2
12,71,0,13,91,29
60,96,12,33,36,12
62,32,28,59,70,29
77,29,69,0,46,45
39,29,0,39,27,47
54,25,0,53,37,43
25,31,77,0,0,36
62,43,0,57,13,35
12,23,0,47,22,8
55,90,0,74,40,49
25,86,45,99,30,23
52,27,0,0,75,33
68,58,47,42,96,18
44,47,0,35,70,21
63,34,34,87,0,45
54,77,0,38,26,35
59,54,91,97,0,44
61,78,86,24,100,46
54,86,58,24,59,13
79,66,86,94,37,20
81,23,38,0,0,24
45,56,47,69,0,29
13,52,26,35,92,22
93,10,59,24,65,30
63,41,83,38,79,30
56,87,0,96,45,28
54,21,13,92,62,11
96,21,61,80,94,23
66,28,55,92,28,13
52,53,81,26,94,17
32,58,95,0,30,49
92,40,60,64,0,39
82,11,38,45,85,30
43,35,0,19,29,25
24,68,0,0,64,40
69,30,0,82,98,32
42,68,92,63,27,9
82,72,73,56,0,17
27,68,20,0,85,13
34,44,14,33,0,25
85,17,59,0,0,35
19,51,0,82,94,24
48,24,80,68,31,8
30,47,17,78,98,8
27,59,55,93,82,10
46,76,15,0,12,7
81,83,63,72,68,50
77,68,59,65,72,1
78,81,0,44,79,28
63,12,41,31,0,26
95,91,69,56,91,10
45,87,86,0,57,46
