100,6,16
5385,4450,4438,4399,5114,520
57,0,47,65,42,57,22
10,56,68,64,95,56,11
0,21,80,47,24,44,7
0,47,60,32,35,90,48
0,94,32,0,12,26,47
74,0,0,69,50,93,41
0,62,0,89,48,0,45
0,98,31,75,91,95,29
14,54,29,22,72,48,15
0,0,0,76,16,66,15
62,0,56,41,62,18,23
85,61,30,63,24,0,1
0,0,89,53,31,68,5
32,0,41,0,35,43,46
29,15,86,30,30,58,50
40,80,0,0,10,52,26
0,17,53,91,16,61,44
72,33,29,48,93,52,17
78,40,0,10,19,26,23
0,36,0,41,43,41,10
51,10,36,0,19,0,37
0,20,44,46,82,29,44
0,0,13,28,48,59,2
33,89,0,0,22,60,44
0,53,68,48,88,53,7
88,87,80,85,48,77,21
91,69,28,35,41,92,35
30,71,22,37,34,0,29
39,63,43,0,88,94,1
83,56,55,0,65,31,3
53,51,0,90,68,69,49
40,85,43,86,97,77,40
32,33,29,62,85,58,6
49,87,0,28,98,0,38
70,19,21,83,23,28,41
90,46,20,60,87,0,3
0,79,0,53,85,33,49
69,29,0,41,89,59,21
0,50,64,67,65,94,15
70,70,35,77,56,36,22
0,28,11,28,71,27,30
98,11,32,85,72,51,46
84,94,26,94,58,50,24
82,61,0,21,16,86,9
42,94,93,89,19,84,29
92,36,0,49,15,95,39
64,38,49,30,55,85,31
66,0,0,80,70,59,9
0,60,66,0,13,36,50
71,86,0,10,86,13,44
39,0,80,67,96,11,33
71,98,0,65,75,17,19
77,31,76,36,96,43,43
90,0,0,12,69,0,50
72,55,0,25,67,39,33
74,0,63,51,77,66,6
38,81,0,81,77,94,19
0,37,15,88,92,0,35
0,90,55,81,50,76,11
16,11,0,67,40,90,20
26,0,99,16,15,53,3
18,0,0,61,27,63,11
79,0,0,59,13,19,9
0,23,0,77,23,38,22
0,15,86,25,84,40,16
73,82,91,36,24,52,20
88,70,54,58,21,71,39
45,64,72,63,98,47,24
71,97,14,40,95,18,36
0,38,72,18,55,62,24
0,45,0,33,77,51,1
0,18,50,47,18,41,2
71,26,52,0,67,46,21
19,57,0,21,12,90,2
0,26,79,0,58,0,1
87,57,0,36,89,98,45
19,91,31,19,53,56,29
0,54,31,16,33,79,29
65,39,25,10,63,23,11
69,16,50,51,46,97,19
0,93,0,42,48,0,1
83,0,37,76,74,11,33
0,37,90,0,91,34,44
90,59,41,65,34,54,31
0,99,12,11,58,87,7
23,34,0,96,27,70,37
11,88,0,38,39,77,37
93,85,11,24,28,37,23
64,39,25,40,15,31,27
51,23,75,37,67,72,38
33,74,88,24,52,51,17
0,29,0,82,70,0,26
16,0,0,43,67,57,1
0,0,44,99,18,0,18
0,72,0,58,95,0,4
14,20,93,53,60,61,29
19,40,13,0,15,18,48
86,0,29,22,14,79,13
49,81,0,0,63,25,25
0,12,45,86,18,73,41
