100,6,71
6393,6208,5868,4195,4180,409
94,34,91,10,92,83,41
12,97,54,23,20,0,32
52,50,98,83,18,0,6
16,65,83,61,76,47,47
34,25,81,74,59,63,9
73,93,23,66,54,41,32
47,63,97,72,21,0,2
94,25,88,60,25,35,19
73,21,86,73,66,0,48
63,70,45,43,24,16,18
40,69,35,19,80,72,27
30,31,30,21,59,0,23
18,33,59,69,27,39,3
38,33,81,22,61,11,1
49,63,76,70,97,39,22
72,15,41,40,38,24,20
35,94,44,26,96,73,37
64,77,60,95,21,89,12
27,54,24,96,83,0,23
63,16,25,73,44,53,17
57,24,20,36,74,0,27
27,19,67,29,74,85,46
90,57,88,13,30,0,34
68,45,13,44,74,99,27
85,30,85,84,63,87,10
90,35,41,98,21,0,23
42,17,43,81,24,27,27
59,53,47,91,76,69,21
43,58,73,39,33,0,30
51,80,54,40,50,57,16
55,71,55,20,85,75,27
86,50,93,94,33,95,46
72,30,44,74,46,12,20
29,15,60,37,14,46,37
51,10,24,42,35,43,11
57,90,62,39,88,62,31
52,65,49,93,71,84,27
64,44,68,99,77,49,24
52,40,14,32,58,58,3
78,27,95,23,12,22,11
46,46,44,63,92,21,36
46,98,65,21,45,0,21
36,44,91,98,22,51,45
26,32,23,67,97,0,33
65,13,80,71,88,0,1
63,37,95,84,17,90,15
20,88,51,31,29,99,48
18,14,91,88,44,23,36
69,89,63,72,57,54,6
64,52,14,91,46,0,18
50,49,30,43,47,35,29
24,36,60,98,29,83,28
85,43,84,37,30,0,14
32,96,92,25,31,51,7
63,94,14,37,97,40,44
76,32,20,46,15,62,14
64,18,86,18,36,0,37
59,64,72,61,84,0,7
38,15,90,54,49,99,16
82,11,83,67,34,16,35
92,27,37,47,88,19,14
31,57,51,100,80,21,34
32,97,75,17,68,0,23
94,64,93,67,33,31,16
22,51,18,55,46,0,11
78,53,28,83,73,48,41
26,49,91,47,69,0,24
87,36,48,56,94,91,35
99,10,25,45,49,50,30
36,86,33,52,92,0,42
15,18,23,71,83,0,22
79,38,41,47,37,85,38
17,56,95,86,19,39,41
26,61,21,76,98,0,23
32,17,96,93,96,73,26
43,39,42,17,73,30,17
98,99,52,68,19,38,26
96,57,94,48,40,15,30
74,79,78,23,29,89,18
100,26,82,57,80,0,8
45,39,73,100,28,14,32
13,93,96,47,79,25,2
57,60,10,87,80,0,16
43,29,29,99,22,0,7
46,11,15,29,98,43,7
11,45,95,10,74,0,26
72,16,21,21,50,0,32
59,19,26,28,19,24,18
30,70,43,22,78,0,4
15,91,29,50,22,79,21
68,77,57,92,66,83,49
91,64,23,87,53,30,15
73,59,38,41,98,24,38
100,93,11,26,57,58,49
21,49,88,66,69,57,46
90,12,72,36,64,42,21
82,61,29,43,35,30,14
51,86,73,97,99,95,39
59,24,84,20,62,79,17
33,41,34,45,41,11,17
