20,10,56
992,1136,884,763,1402,534,1026,314,382,1
94,48,11,0,51,26,95,0,38,0,45
41,91,90,0,25,50,20,0,37,0,39
0,82,16,78,31,77,91,40,39,72,7
0,79,0,0,56,48,82,0,0,0,25
0,0,0,79,97,38,58,21,30,38,22
84,38,17,0,83,38,18,0,10,0,1
77,0,25,0,22,18,54,99,86,0,26
0,10,80,13,100,55,29,48,91,74,15
0,78,43,0,42,48,66,0,22,14,26
0,0,61,0,68,61,39,0,40,22,31
75,58,55,66,30,36,37,0,10,0,45
62,0,0,10,89,30,20,46,37,0,17
54,39,17,19,70,45,29,25,0,0,8
33,74,46,81,90,33,43,0,90,84,45
82,74,29,0,52,76,81,0,0,0,4
0,18,23,0,55,77,78,80,43,50,44
0,63,73,64,27,90,13,66,0,26,33
0,23,45,23,19,14,61,0,0,0,42
68,32,45,98,37,75,98,0,79,0,50
0,0,98,49,93,77,60,0,97,0,28
