60,14,54
3406,2178,2143,1848,1896,3171,1641,2261,2383,2189,2829,1627,1536,416
96,36,52,0,0,96,99,53,23,81,0,38,70,0,18
65,0,11,23,50,79,44,36,13,0,0,74,80,72,25
63,70,32,0,0,93,93,85,0,35,55,42,86,0,32
0,47,30,0,11,0,96,85,19,0,0,0,72,0,49
78,0,0,0,0,25,36,55,69,16,17,0,51,51,11
0,0,29,97,0,0,59,68,71,45,0,0,99,49,23
58,0,0,0,0,51,100,0,95,0,35,21,92,0,29
25,36,68,15,0,43,13,84,0,0,37,20,38,0,13
26,61,0,0,25,98,24,0,0,92,60,0,86,22,1
0,89,0,17,0,0,61,54,0,80,45,30,81,0,11
97,68,56,43,42,51,79,0,0,0,30,26,41,54,42
51,0,65,87,0,20,15,49,15,39,38,0,82,0,19
0,94,33,14,74,76,24,11,0,31,13,0,27,0,50
27,0,32,0,0,0,61,65,0,0,76,69,54,14,45
30,58,0,0,0,0,73,93,0,0,100,0,92,0,37
15,100,56,0,54,0,47,47,49,0,93,0,95,0,5
75,29,63,15,0,62,55,76,0,0,46,33,58,75,16
22,0,13,61,71,34,36,14,52,61,88,24,65,0,42
91,57,0,0,98,41,93,26,29,0,0,39,59,40,5
85,26,0,0,65,62,49,49,0,52,0,61,68,48,26
0,0,0,0,0,35,88,10,65,0,0,0,20,0,23
95,37,0,42,93,56,98,43,88,64,0,0,83,98,38
100,65,67,46,0,96,26,66,0,0,0,0,30,0,14
40,12,10,0,51,13,55,0,0,36,20,68,26,0,26
10,18,62,17,19,72,92,0,43,98,0,0,81,89,3
37,0,0,43,97,15,79,33,0,0,31,0,80,0,40
51,70,30,90,0,80,33,52,53,0,0,17,64,60,3
0,94,0,0,83,48,47,22,0,30,0,56,67,89,44
44,62,99,0,0,96,89,70,0,0,25,78,29,96,40
0,40,0,92,39,74,56,39,100,77,64,69,94,16,41
0,0,0,0,39,73,48,0,0,0,96,22,40,33,40
13,92,0,13,77,0,41,0,69,0,84,0,71,70,19
60,0,87,69,0,0,87,84,0,0,29,0,85,20,40
36,95,84,0,15,10,73,11,16,0,21,0,52,0,30
11,0,12,17,86,0,11,18,0,0,0,35,74,19,22
56,0,79,61,45,0,88,52,63,0,48,0,16,0,29
0,0,68,0,17,44,17,20,15,61,0,0,96,95,43
85,33,77,55,44,82,74,46,0,76,0,0,36,94,29
76,0,0,28,29,83,72,0,0,0,92,0,24,0,27
67,50,98,65,93,0,88,97,0,18,0,0,41,0,4
39,94,23,10,0,55,54,86,98,0,43,0,62,77,45
48,0,85,17,47,26,40,78,0,99,0,71,65,49,34
13,11,0,24,0,21,99,81,0,26,0,0,24,78,43
55,0,0,0,15,53,100,21,84,0,0,0,13,74,48
37,0,0,0,0,0,98,14,0,73,0,0,40,0,8
70,0,32,62,0,0,78,28,74,44,35,0,19,0,49
33,0,28,0,0,61,42,69,78,66,0,82,76,0,36
90,0,91,0,0,49,43,77,0,20,57,0,30,74,44
32,0,21,89,0,70,43,0,0,0,34,0,76,0,34
59,0,0,0,71,0,42,91,0,0,83,0,87,0,3
50,48,39,92,0,93,45,65,19,52,97,72,14,0,2
32,0,0,0,67,0,80,49,0,0,79,90,10,0,37
0,29,77,0,0,79,48,96,0,0,0,99,16,45,15
66,0,0,0,96,40,39,11,0,0,0,0,73,0,11
46,34,0,0,96,95,58,58,48,0,59,53,60,10,5
75,0,50,18,0,97,86,52,59,0,0,10,16,90,24
16,0,95,71,84,0,34,51,0,84,87,33,37,76,16
10,86,92,0,0,0,63,0,76,65,82,32,93,0,27
47,0,73,0,0,0,58,0,38,83,0,0,25,54,16
0,0,0,0,90,48,40,81,75,0,14,0,58,0,10
