100,6,62
5537,4124,5326,2878,2723,3756
52,0,90,36,25,27,12
0,0,17,69,42,57,46
66,29,36,31,19,0,45
28,21,66,22,15,86,45
89,81,73,60,36,88,21
22,98,59,79,23,76,2
0,32,69,20,100,82,22
19,43,0,19,53,65,3
80,73,40,15,0,33,33
55,0,89,47,0,79,25
67,34,84,15,16,38,10
26,0,65,95,0,90,16
66,77,67,95,35,87,3
12,0,0,68,13,35,47
0,83,44,49,0,18,8
98,0,0,32,32,0,29
87,92,57,89,19,72,39
34,41,23,88,64,0,10
20,0,86,87,41,79,48
0,59,19,100,81,11,31
55,91,69,85,82,0,4
66,0,83,15,19,55,8
20,0,78,21,20,0,36
0,72,97,21,42,45,22
95,25,0,70,51,36,40
40,0,37,19,38,0,27
63,33,0,20,90,20,4
77,38,69,77,76,99,15
68,92,81,26,19,0,50
11,0,30,13,31,90,29
92,14,0,75,62,14,26
27,22,21,49,0,0,48
35,0,58,37,19,88,14
96,0,94,97,0,92,18
63,17,12,74,57,82,17
19,64,74,36,97,0,7
67,52,21,56,69,34,25
37,45,39,51,35,83,19
52,90,25,23,37,63,50
22,69,46,64,0,88,23
97,0,43,73,0,77,20
0,35,53,71,26,53,10
11,75,51,75,14,0,22
27,40,95,78,38,94,38
96,71,99,79,90,14,20
68,52,38,59,76,0,9
0,21,90,68,91,21,30
55,0,51,96,71,88,4
50,19,88,74,88,94,1
97,0,60,20,99,64,28
50,0,80,42,20,0,6
83,0,91,43,65,38,48
54,64,79,61,13,49,41
96,37,96,61,100,45,9
78,79,99,33,10,88,23
0,0,20,61,12,0,42
79,84,35,92,98,70,18
51,55,78,93,0,0,39
54,27,0,32,21,16,2
69,67,14,26,64,15,3
0,0,11,47,53,10,48
17,0,38,57,45,94,17
90,90,81,89,0,51,23
95,57,86,98,47,0,6
0,0,66,66,17,0,17
35,0,87,91,70,43,7
61,45,0,68,0,10,14
15,79,21,27,61,45,2
26,17,0,91,99,72,7
0,33,47,81,69,0,46
0,76,100,16,59,38,45
0,78,82,70,0,94,34
88,89,0,79,89,0,5
79,0,36,26,37,27,1
100,80,94,99,0,94,7
10,73,93,91,72,59,2
0,33,0,22,0,18,46
99,16,70,72,0,17,3
38,80,0,45,29,31,2
0,0,17,45,24,74,6
82,43,31,71,19,49,2
52,0,25,77,16,88,38
53,81,66,81,96,39,22
39,75,99,14,35,66,9
0,0,88,58,68,60,17
85,0,34,88,18,92,19
57,34,52,49,98,0,37
24,0,14,23,84,0,40
0,18,44,35,88,11,20
82,0,0,83,16,0,19
93,0,12,33,28,66,35
77,63,97,17,56,70,1
52,70,71,91,81,82,38
76,0,24,25,45,32,42
0,40,39,41,64,73,48
51,63,0,63,74,81,23
100,15,19,68,15,0,16
85,0,77,40,0,0,46
15,10,0,35,24,85,10
94,38,24,47,61,49,36
