100,6,51
6021,6683,4343,2768,2313,5450
60,79,71,44,0,81,40
57,59,0,0,45,58,3
93,38,0,38,49,38,13
63,59,36,0,55,74,6
63,59,60,80,0,49,16
84,71,19,10,46,92,34
25,69,98,80,0,32,17
59,62,18,64,50,48,9
56,19,49,35,0,63,16
57,41,83,20,0,43,45
70,91,30,52,69,20,29
35,41,0,46,37,31,50
78,46,65,54,0,19,24
71,10,31,16,0,44,2
10,62,93,0,64,15,39
57,21,0,14,62,46,27
58,36,17,64,0,54,26
59,38,24,25,0,94,9
33,38,68,80,0,86,9
36,68,0,14,82,69,30
56,96,30,100,36,96,36
13,73,0,14,10,77,14
62,66,23,88,54,90,25
55,34,13,44,16,92,12
53,60,34,0,22,20,12
20,33,28,75,36,91,32
62,25,96,34,94,56,9
14,46,0,24,37,70,50
21,100,12,82,81,68,27
90,70,57,33,20,47,38
90,28,0,33,37,63,33
91,19,100,87,52,27,38
35,53,49,44,20,93,42
55,41,63,33,38,67,17
33,27,20,17,0,85,5
62,79,0,72,0,44,36
92,37,17,0,0,96,37
12,67,25,48,97,76,46
77,24,19,15,53,52,45
78,59,0,19,50,36,10
32,30,51,52,0,69,30
29,57,0,23,0,21,34
86,19,80,10,27,61,42
100,33,0,0,23,65,27
54,84,81,0,53,40,9
49,41,74,65,61,64,8
61,49,68,50,44,68,32
57,92,23,0,0,82,13
17,48,0,57,37,32,15
73,69,39,91,24,51,5
41,21,0,60,84,77,10
91,14,70,61,0,46,38
50,55,0,0,50,93,50
19,59,56,35,0,59,48
99,86,0,22,0,88,31
76,52,14,64,88,95,16
81,13,14,44,39,85,24
18,71,81,95,0,43,43
31,22,0,86,0,76,47
34,32,73,15,0,26,25
16,25,93,0,71,26,45
57,64,0,0,94,62,45
46,87,91,24,61,48,36
100,52,0,67,73,85,50
87,19,26,97,26,32,3
58,40,0,92,64,46,10
59,34,0,73,17,57,8
18,52,0,10,50,55,28
45,50,11,0,95,60,38
95,74,64,79,0,32,5
64,81,95,27,30,69,42
11,33,0,26,42,95,10
96,40,10,72,12,70,15
88,79,0,68,57,35,38
71,73,49,74,0,62,4
79,70,60,22,32,91,34
25,43,71,93,0,38,46
33,46,88,33,84,19,19
51,73,66,0,17,16,15
55,57,96,63,78,38,7
55,39,80,0,45,12,7
17,71,0,55,91,83,29
97,60,74,19,0,29,49
68,18,17,93,94,50,44
58,94,0,87,90,36,38
19,95,0,0,21,44,11
27,85,56,0,79,83,9
86,51,0,34,13,65,33
30,70,0,0,0,15,1
75,16,0,0,0,30,13
69,81,97,74,34,43,31
36,27,85,94,0,60,49
56,17,0,88,91,22,38
99,41,0,75,0,87,11
79,63,92,30,52,99,47
100,66,0,98,70,99,27
98,41,77,95,95,100,32
90,34,23,61,82,36,5
26,41,0,100,0,61,34
90,76,42,0,75,35,2
