80,6,64
3478,5587,3574,2050,2324,1352
37,64,21,40,85,57,20
13,50,0,49,58,0,50
52,13,75,75,84,0,3
24,44,95,36,92,81,33
0,92,45,40,62,0,17
0,14,0,34,35,0,43
0,73,24,11,83,50,13
95,86,25,37,61,27,36
82,91,59,57,54,0,15
0,44,0,28,59,96,40
0,66,16,98,33,0,32
10,16,0,44,77,45,18
0,20,85,34,31,60,10
0,81,82,18,18,0,35
0,86,25,62,34,0,8
0,10,82,67,13,0,37
80,18,27,29,41,12,43
56,76,0,11,17,98,21
0,12,29,12,43,0,48
65,51,16,74,53,0,45
0,56,0,28,60,95,29
53,26,10,69,54,99,35
92,16,31,84,11,98,15
0,24,22,30,75,0,27
86,17,0,89,53,70,41
29,38,67,29,62,96,7
0,81,50,91,48,0,30
97,76,15,31,100,0,43
66,18,30,76,12,48,5
0,40,41,42,34,90,18
23,13,67,88,26,18,12
56,61,34,98,46,95,39
0,91,24,71,41,43,39
0,83,37,60,100,0,47
35,77,22,69,48,47,37
0,22,98,55,72,23,14
37,72,10,37,23,30,26
14,70,75,55,78,84,43
10,37,94,33,86,0,34
84,10,0,40,46,0,19
94,51,92,25,84,31,40
26,94,76,30,57,92,38
0,68,63,14,37,0,48
0,91,73,39,71,36,36
0,75,82,89,39,64,18
97,26,12,24,35,67,49
0,60,69,62,50,23,27
42,80,10,55,56,0,1
14,67,83,29,100,0,48
97,11,98,57,23,0,28
22,17,73,82,87,27,20
94,28,11,86,65,0,47
25,100,48,35,84,71,10
39,46,93,32,73,68,10
39,40,0,70,78,51,42
30,54,69,85,57,0,41
46,80,55,22,65,29,28
28,28,37,78,95,98,16
92,39,72,18,78,13,14
0,13,16,89,40,79,7
42,21,57,89,40,76,44
66,57,12,40,35,76,44
74,48,48,69,98,0,21
43,58,44,27,47,57,20
71,41,16,69,49,16,23
0,99,0,89,54,0,12
0,98,12,25,15,0,10
0,79,70,81,99,18,6
19,79,86,30,71,20,15
71,85,61,91,22,0,38
0,15,0,15,27,93,39
0,89,75,10,63,19,20
19,38,0,11,28,0,22
0,35,0,21,90,41,30
54,63,0,41,16,0,3
94,85,50,71,12,51,4
70,72,0,53,16,31,4
0,56,75,88,47,0,20
31,40,59,69,91,0,46
0,12,0,57,77,0,26
