60,4,8
3643,4267,3412,1187
17,19,41,77,3
30,85,35,45,47
36,54,93,29,45
80,64,88,13,27
78,19,83,85,40
16,35,59,60,48
79,78,62,66,31
76,19,79,36,6
56,62,79,21,24
100,67,63,70,8
13,99,65,77,15
49,34,48,18,34
19,29,51,78,8
81,21,59,96,13
32,68,71,56,34
97,100,12,18,14
90,51,14,38,15
59,57,43,59,21
85,25,14,35,18
94,31,47,63,28
58,92,86,38,47
38,48,29,71,23
62,61,49,21,43
30,14,55,88,25
14,81,38,75,27
67,50,86,67,11
77,83,48,57,33
60,32,88,67,35
22,35,49,83,27
67,84,80,98,17
35,34,39,23,5
66,87,80,75,29
96,43,59,92,1
28,95,32,31,29
32,87,26,31,6
15,44,95,21,33
69,53,57,15,25
51,57,37,65,13
48,60,62,39,12
22,54,80,34,24
21,99,82,68,16
13,90,24,79,43
99,100,40,62,34
11,91,61,25,16
27,76,48,86,45
15,31,51,80,8
68,18,38,96,12
12,16,47,84,11
60,34,35,55,32
24,69,37,74,4
63,21,94,87,25
38,23,65,77,43
21,97,95,46,18
57,15,56,48,14
21,41,22,18,25
67,75,94,51,29
25,10,93,98,5
96,14,87,100,31
32,27,87,27,47
96,60,20,92,15
