80,4,38
5121,4519,3113,4042
94,66,26,90,40
59,45,65,75,39
50,38,13,78,4
89,33,83,82,46
91,96,88,37,34
77,36,84,59,44
99,71,90,72,32
20,55,41,100,8
100,100,51,74,24
32,79,98,81,43
94,64,18,84,8
86,18,35,61,9
13,57,29,59,25
96,66,64,23,25
77,87,41,55,26
57,38,78,16,5
92,11,82,42,39
77,52,78,41,2
32,81,77,22,44
25,87,34,55,39
63,40,16,95,14
14,41,15,24,6
70,35,52,28,41
12,73,56,67,10
97,88,27,47,8
64,64,90,58,23
88,79,71,23,10
49,11,63,44,6
75,29,72,18,9
27,20,13,59,10
30,67,88,31,31
39,12,16,71,17
76,59,97,47,38
50,94,60,63,21
91,33,76,85,4
32,78,16,82,24
41,44,97,63,31
54,10,43,89,20
83,92,25,61,31
11,79,66,79,3
36,52,32,81,10
90,71,93,21,34
52,59,51,46,14
91,89,51,25,16
37,70,51,40,32
39,31,63,56,30
62,87,50,87,16
91,76,30,75,29
38,75,42,90,41
17,93,55,95,41
99,71,100,82,7
15,41,97,49,29
59,89,17,52,22
36,24,52,59,44
89,38,18,25,42
93,23,84,16,49
31,45,92,71,29
72,89,49,52,32
30,20,59,85,28
13,32,89,97,33
30,63,41,78,36
70,61,35,33,26
88,88,41,16,8
97,29,64,49,50
50,40,29,15,40
15,62,82,84,27
10,21,12,63,41
95,41,78,39,14
11,54,56,96,34
73,87,65,34,28
89,43,71,68,26
31,62,30,54,44
34,72,69,43,35
63,22,35,41,25
26,65,53,90,28
32,90,19,22,47
19,26,18,82,7
48,54,69,29,15
87,54,53,65,22
34,58,68,75,16
