100,5,9
4741,2847,4410,3535,4593
31,69,0,82,28,22
69,20,0,48,58,39
0,55,31,23,46,38
58,18,40,85,51,7
0,88,97,97,49,31
65,51,28,27,14,1
0,22,13,0,91,41
26,98,67,74,43,48
65,66,26,0,76,45
14,63,22,87,92,20
42,18,83,73,23,13
20,34,64,15,18,21
81,28,69,67,41,29
11,36,42,100,87,47
0,59,20,16,74,21
85,67,79,62,41,24
31,14,45,55,93,33
48,89,94,100,45,39
68,23,13,68,49,49
26,47,25,82,25,22
10,31,29,0,68,25
96,15,35,48,45,28
0,29,38,0,90,1
0,87,54,80,91,30
42,66,82,78,32,11
0,92,85,94,27,37
0,15,85,78,63,6
0,35,82,0,31,19
34,49,0,95,25,24
36,70,25,13,71,39
0,44,25,10,78,8
35,30,21,38,36,3
82,79,38,90,27,36
57,77,37,75,16,36
25,51,57,20,75,50
63,92,40,0,31,47
85,95,0,0,100,29
53,29,53,0,86,8
20,97,16,58,46,30
18,52,0,99,60,49
0,32,90,62,52,6
0,11,64,93,90,9
33,93,61,45,90,45
11,72,32,92,25,7
30,96,0,52,80,36
80,25,46,0,91,10
30,23,43,0,82,49
38,63,49,36,24,1
84,86,0,97,28,22
22,57,21,0,85,19
50,60,48,71,34,9
32,15,76,88,29,3
0,43,94,0,42,49
95,84,46,0,12,23
62,41,59,0,31,48
0,52,0,80,62,43
90,30,98,77,28,16
0,22,64,59,92,13
18,31,60,52,61,21
0,40,10,38,74,22
65,77,0,78,74,24
74,100,41,88,46,29
94,20,27,97,82,11
47,95,0,94,85,9
11,36,0,89,73,29
74,76,94,67,75,30
59,28,70,43,42,41
59,49,88,48,31,38
28,31,78,38,41,19
91,63,83,0,28,6
63,94,87,88,71,14
0,38,0,52,19,7
73,98,41,100,43,27
33,50,0,26,46,50
89,94,15,71,20,16
0,79,33,83,80,17
17,23,47,68,70,49
12,88,0,23,28,1
91,57,0,45,25,38
0,86,85,0,32,24
28,77,81,45,57,27
97,71,94,94,55,28
0,21,52,18,57,1
77,39,0,0,12,1
73,62,36,34,55,24
53,93,24,28,11,27
25,94,76,25,31,22
88,33,0,64,20,1
48,95,0,72,81,43
49,25,46,94,62,33
32,39,0,77,91,49
62,19,80,73,37,22
34,89,0,0,92,43
31,75,30,35,42,1
60,94,76,69,49,14
0,61,57,51,43,7
71,58,18,10,45,34
49,97,54,0,49,47
94,24,0,30,19,48
72,34,0,45,46,33
