80,6,32
6039,4993,3876,2970,2267,442
19,53,0,82,0,68,14
52,28,0,31,95,0,24
28,0,65,67,74,74,47
95,25,0,15,91,65,39
90,63,0,12,70,0,11
48,64,0,16,17,0,40
69,0,80,96,50,40,47
89,95,0,44,93,68,26
41,0,0,12,79,74,13
67,82,65,51,54,72,42
64,0,23,68,62,100,21
77,84,54,67,21,0,9
88,95,0,100,78,63,7
16,77,0,42,89,39,7
19,58,55,93,26,17,30
14,50,96,98,47,0,46
76,59,0,22,80,12,41
22,80,92,13,0,0,12
29,63,76,99,60,12,33
80,62,0,65,96,0,30
75,54,58,0,45,86,3
63,0,0,56,0,56,24
43,0,38,53,0,43,30
80,60,0,0,0,18,27
63,25,76,15,98,0,12
58,67,0,13,12,0,37
62,0,15,61,63,0,43
12,47,0,0,42,18,23
30,71,38,72,40,0,27
85,0,10,89,71,0,3
21,67,37,50,47,60,4
78,76,0,30,86,24,9
17,49,0,0,24,47,40
27,28,0,47,40,65,31
70,77,17,40,61,0,37
44,94,82,46,52,18,28
69,75,0,32,75,0,48
49,0,96,0,0,0,10
42,15,0,69,56,0,5
29,53,0,73,47,0,23
78,29,98,0,19,0,6
56,70,49,99,24,94,8
44,26,0,15,81,0,42
52,92,61,34,15,0,34
78,0,0,37,34,0,18
38,56,75,47,97,16,11
43,60,75,20,77,42,40
62,21,70,17,85,29,37
80,0,0,0,38,59,21
36,56,47,88,68,64,41
22,74,0,33,82,47,27
64,56,45,0,0,60,32
53,25,83,35,38,0,37
41,20,82,34,53,63,32
84,46,93,64,46,19,21
18,13,58,20,22,91,42
27,32,30,0,52,48,29
48,74,0,62,69,90,41
92,0,98,95,54,38,45
49,21,0,63,34,51,12
86,100,0,92,91,0,6
11,25,0,38,0,36,29
66,0,44,94,0,0,38
88,98,0,28,66,0,12
44,47,77,75,31,96,41
69,19,0,38,86,81,7
93,50,81,58,97,0,15
98,82,54,33,21,41,29
38,84,79,62,31,0,1
13,66,95,32,23,0,35
62,80,31,36,73,96,23
85,23,0,64,44,36,16
24,0,92,20,16,90,39
11,94,35,74,48,97,34
59,0,0,91,23,19,4
87,44,34,85,89,79,12
19,24,72,29,27,31,40
25,30,35,90,52,40,6
27,92,0,82,93,0,17
63,85,12,79,0,44,26
