80,6,35
6346,6248,4238,2855,2643,61
60,40,63,92,10,45,16
58,38,13,0,73,70,15
90,88,82,90,41,47,11
18,61,18,84,26,45,2
43,32,0,63,39,51,20
20,65,0,30,22,14,27
96,23,36,59,60,42,49
26,94,31,38,0,74,41
83,63,74,94,0,27,10
92,62,0,21,93,59,45
33,53,40,0,92,61,44
93,29,49,0,75,48,45
16,54,57,59,14,31,42
65,54,55,14,0,12,17
68,83,55,41,0,27,35
19,67,99,89,0,41,1
47,44,11,46,0,90,16
72,14,41,92,0,63,18
100,41,46,19,68,97,36
10,83,48,0,0,11,45
67,80,23,88,0,57,9
16,96,0,75,91,37,26
67,33,93,28,80,17,41
58,40,24,10,23,91,32
75,17,11,70,82,29,40
77,52,25,34,39,33,14
69,98,0,25,0,75,35
12,21,0,40,0,46,4
95,84,12,49,0,67,13
22,82,13,62,52,25,6
58,29,88,23,13,19,16
71,89,0,63,81,65,20
88,40,90,38,56,76,6
29,95,94,98,0,44,16
98,60,0,79,81,47,14
91,15,0,17,50,85,30
37,30,0,0,54,38,10
64,57,12,67,19,86,25
55,60,0,0,19,42,11
45,44,0,0,0,89,5
81,72,92,19,0,47,26
77,53,0,23,0,92,19
67,71,23,27,33,22,18
59,57,58,77,91,20,30
48,98,0,60,63,97,45
36,70,29,44,0,17,15
92,87,95,0,12,36,10
81,59,0,83,28,67,35
69,25,85,43,0,95,36
81,46,0,82,92,96,15
29,14,93,93,0,85,43
90,63,66,13,27,85,24
80,73,85,32,98,85,47
20,59,50,86,15,40,20
56,90,61,98,73,95,48
19,59,61,93,0,45,47
88,43,48,77,88,67,26
86,73,58,42,31,84,33
96,65,67,48,77,14,48
20,73,90,24,66,82,15
35,71,59,88,44,47,18
72,57,91,0,33,99,20
93,65,0,89,0,44,29
24,93,14,42,10,12,14
17,79,22,15,82,81,31
89,88,68,91,80,36,48
41,54,90,73,71,25,29
21,87,40,37,0,96,6
13,90,12,21,0,27,3
36,50,58,0,48,30,22
14,47,17,65,17,46,6
23,30,31,0,0,44,30
71,34,33,46,80,86,47
93,34,0,59,0,15,10
33,33,41,14,0,78,16
96,63,21,30,83,30,30
71,68,62,99,83,77,7
53,77,0,48,54,99,36
69,85,0,19,59,68,26
60,49,0,0,19,17,22
