80,4,56
4601,5724,2656,3604
16,45,59,21,8
59,44,90,11,1
43,82,87,14,41
75,52,31,63,42
66,78,45,71,25
76,49,30,16,45
63,76,26,62,31
97,40,83,13,28
12,40,37,35,32
86,67,56,35,21
25,29,30,24,47
65,23,77,44,38
46,30,49,14,19
21,36,41,20,13
55,84,35,36,14
75,16,64,49,23
12,88,21,74,20
88,95,71,85,36
96,20,24,13,49
29,19,24,83,7
75,77,50,49,4
28,20,54,43,12
68,23,17,63,3
14,64,37,15,12
32,50,26,12,25
54,58,42,87,43
10,96,23,76,16
58,27,46,94,20
11,83,22,34,2
66,52,58,97,10
52,50,16,21,15
27,31,17,84,13
25,88,24,76,40
13,13,47,93,41
64,29,80,48,37
48,84,64,80,2
89,20,86,89,13
89,68,21,64,41
14,93,73,61,25
90,19,58,100,49
96,60,45,49,7
59,40,15,77,25
43,11,74,84,30
15,27,76,38,30
40,74,80,52,47
26,69,63,51,49
78,21,54,42,43
43,20,60,19,36
82,35,10,30,23
56,84,62,20,28
38,62,36,24,41
36,17,96,14,45
60,45,71,58,34
32,17,19,48,45
90,68,58,68,12
48,11,74,70,42
74,52,43,28,19
41,17,92,97,14
10,31,87,32,38
51,77,93,35,6
92,68,87,98,7
56,64,76,100,37
80,30,34,84,23
34,15,80,54,9
51,27,91,78,19
90,68,54,69,25
74,39,66,24,1
26,15,59,97,33
58,50,62,51,42
69,97,61,34,9
73,66,83,27,14
67,92,52,93,34
73,64,79,69,46
43,38,87,21,3
42,53,17,33,3
67,30,31,19,37
13,94,10,28,26
91,83,80,11,40
90,51,78,90,35
11,61,27,60,6
