100,5,47
6658,3029,4402,5365,3201
44,48,48,23,83,30
85,36,0,10,0,15
29,18,22,18,0,16
40,20,71,83,0,29
44,22,95,75,33,34
65,71,83,49,10,46
72,11,29,69,71,34
51,86,0,88,39,29
32,16,78,80,45,47
97,95,60,60,0,38
65,30,44,17,98,23
17,64,56,29,18,27
77,73,30,68,26,14
36,61,0,18,29,15
46,68,0,99,71,43
87,35,0,0,63,7
54,15,50,0,95,36
97,25,85,99,96,49
41,85,24,0,26,7
58,99,57,77,35,10
33,79,67,66,70,23
68,76,20,76,99,40
44,82,0,48,73,24
43,47,61,0,0,16
77,95,0,0,38,36
75,76,82,80,0,16
29,71,0,63,25,2
56,98,0,0,62,43
24,87,83,88,99,47
81,50,43,82,80,43
40,12,18,0,87,27
82,73,59,58,72,43
61,65,14,63,0,16
56,61,56,78,15,11
39,22,96,67,67,49
88,61,91,84,59,5
75,18,65,35,51,3
54,53,99,11,68,48
52,67,33,0,17,48
42,98,15,26,12,24
64,27,72,0,57,32
40,60,85,10,28,46
28,75,43,53,29,36
67,83,69,74,0,13
39,98,0,56,36,14
54,90,81,63,12,15
94,76,27,29,0,12
39,21,25,0,56,13
13,40,90,42,34,47
61,51,25,0,32,8
62,74,56,0,59,23
56,57,37,57,0,41
38,27,17,42,0,14
62,63,0,0,85,8
21,95,11,78,0,28
92,37,28,78,15,13
33,84,29,46,55,11
43,77,22,50,74,45
18,94,32,42,17,37
49,39,67,55,52,11
24,46,16,23,39,31
28,33,87,65,89,1
19,58,0,53,25,32
24,82,0,21,0,6
96,31,100,35,43,9
84,31,47,0,49,41
60,98,13,0,44,24
73,79,0,35,35,15
87,75,24,0,20,22
100,19,44,37,45,35
37,43,49,31,12,38
41,100,16,82,37,34
97,81,32,0,86,24
51,87,22,0,38,5
28,47,27,15,0,5
76,53,74,75,84,16
84,70,31,12,13,16
41,61,0,71,47,46
57,36,69,62,31,18
36,78,58,44,0,48
29,80,0,66,0,39
95,35,65,61,96,8
35,97,96,40,34,1
37,55,0,0,0,20
23,40,0,0,0,38
37,21,29,0,71,20
10,72,23,100,80,48
75,53,83,75,0,5
48,90,89,53,76,48
74,27,56,0,27,50
18,23,23,48,0,17
52,51,42,62,81,18
54,88,81,15,86,21
74,65,15,64,40,22
58,91,100,45,90,20
14,43,0,14,10,27
28,37,83,38,79,44
96,53,40,85,28,36
38,90,61,98,62,5
37,18,21,53,15,48
