100,5,11
6646,6545,3529,3757,5006
98,62,80,82,0,24
31,64,33,24,0,18
53,96,95,93,52,27
52,55,77,39,59,16
53,83,80,21,26,26
67,10,76,19,47,40
11,52,68,30,96,47
70,50,34,13,13,26
26,76,74,43,91,16
20,24,23,80,29,33
62,50,94,10,15,42
81,82,35,36,0,20
42,48,91,88,83,12
83,70,41,25,0,31
36,13,58,45,23,27
27,41,62,30,42,41
19,69,77,86,23,8
64,100,22,18,25,2
70,10,42,29,16,11
98,30,29,48,78,9
12,48,67,97,10,44
84,42,14,66,40,42
95,67,84,69,0,12
62,78,92,28,79,4
92,31,20,20,79,33
47,10,27,91,92,23
72,65,39,53,40,44
98,61,13,63,27,24
86,76,68,50,83,29
93,88,28,24,39,31
76,36,98,92,94,38
53,78,34,88,0,11
69,22,84,92,98,18
64,67,52,21,47,23
11,99,98,98,51,31
93,85,57,26,10,24
12,30,72,42,86,39
13,79,68,28,95,23
91,81,12,18,72,28
90,54,52,35,14,15
26,93,37,14,48,40
46,84,10,21,44,43
68,48,70,37,81,44
85,45,38,56,87,4
98,23,14,17,50,30
24,54,67,48,81,21
87,70,57,51,90,7
74,44,78,31,0,9
11,43,39,67,61,10
32,83,23,69,0,24
26,78,79,75,50,45
61,63,69,48,62,44
85,88,87,91,66,9
31,19,51,16,51,13
81,15,75,57,54,5
43,72,20,11,46,31
46,86,48,24,97,16
21,70,61,73,13,12
33,63,71,99,89,34
48,37,85,89,0,6
32,22,27,72,23,38
99,66,43,93,0,9
36,16,17,41,81,17
49,14,14,30,23,47
63,98,60,67,80,47
58,51,45,99,0,6
23,74,82,95,42,24
99,86,26,24,35,18
72,74,72,90,0,22
96,78,71,47,41,10
34,41,29,98,81,9
78,68,99,81,47,46
45,61,89,39,22,33
70,12,96,44,0,42
57,42,36,84,100,20
94,75,100,10,21,23
25,93,59,45,0,18
25,58,43,99,0,34
51,100,93,84,95,8
37,28,98,91,0,28
51,63,23,80,29,50
69,63,74,47,0,11
16,36,73,26,0,31
58,30,60,47,67,30
18,83,40,52,0,37
39,41,56,69,73,9
61,66,74,60,91,12
64,87,52,48,45,50
98,77,46,50,23,15
28,65,95,65,13,32
74,74,46,58,15,29
81,90,67,18,84,18
50,98,13,70,33,45
72,30,40,18,71,8
97,11,35,94,47,33
73,82,50,21,0,34
26,15,81,45,96,34
36,48,66,51,61,46
91,86,46,61,77,47
61,17,84,40,16,31
