100,12,67
4908,4440,4911,4095,3872,7099,1991,3150,1657,2724,3734,1824
15,28,0,80,0,68,34,87,0,0,15,76,36
0,0,15,58,44,64,0,89,0,0,0,21,5
17,100,57,50,55,90,79,96,0,0,52,13,47
0,72,70,57,0,43,0,12,0,64,10,16,50
78,26,0,26,0,92,0,95,73,0,41,96,1
69,0,0,54,42,92,43,31,96,17,26,33,29
0,0,0,65,0,0,54,55,0,0,50,52,48
0,48,95,61,15,45,0,80,81,0,88,0,31
81,0,19,0,18,38,63,67,83,62,11,45,24
36,43,96,20,14,22,71,18,82,0,54,59,25
23,0,78,0,33,53,0,56,0,89,0,82,10
32,15,97,86,28,73,0,31,0,80,95,74,46
39,61,63,0,0,55,20,20,0,0,0,68,47
89,81,0,99,0,43,0,85,87,72,0,0,6
98,0,0,34,91,60,88,79,0,0,62,100,3
37,55,95,16,0,0,53,27,0,77,64,94,2
0,77,18,37,39,0,21,32,0,46,0,50,45
66,0,88,35,0,29,59,59,42,74,0,70,33
40,0,33,99,94,14,57,0,13,0,85,63,21
68,100,0,0,24,97,52,73,0,0,83,82,15
38,18,0,90,74,0,46,35,0,0,52,73,39
0,36,0,57,99,10,42,39,49,0,86,15,33
0,38,85,40,56,99,19,12,86,0,18,0,14
61,22,18,0,0,55,62,14,75,81,50,20,1
45,41,79,0,78,86,0,18,0,96,53,79,46
51,0,45,56,15,81,55,19,0,0,36,0,40
0,47,42,0,0,25,40,15,0,38,17,0,34
0,53,0,78,100,25,100,76,0,0,48,30,36
98,30,0,57,0,61,40,37,0,0,66,41,46
0,0,29,0,0,85,0,28,0,0,94,28,4
0,48,14,0,32,30,0,38,0,0,0,24,33
80,0,0,10,83,33,19,17,82,99,73,0,41
41,18,0,46,37,91,0,68,31,80,35,59,38
64,41,47,0,0,50,89,34,11,75,99,13,29
0,99,0,0,0,16,0,78,91,0,0,0,15
74,66,0,0,0,62,0,94,0,64,67,0,19
68,65,0,77,0,0,84,36,93,0,69,40,6
56,54,78,0,0,99,64,98,21,74,25,12,15
0,36,0,90,0,77,76,55,0,0,14,48,38
72,0,0,0,74,65,95,24,71,51,76,52,9
25,63,33,72,0,70,23,98,75,0,63,0,36
61,0,34,62,100,55,0,34,43,25,47,30,5
0,21,0,40,0,35,0,68,34,0,0,24,40
0,98,83,0,94,47,81,13,0,0,27,89,9
71,0,0,44,0,74,95,62,0,61,91,83,9
94,83,99,55,53,15,95,31,94,0,65,58,5
30,96,0,0,87,54,70,96,57,88,0,0,33
73,94,35,85,0,29,0,58,33,73,96,96,30
15,54,40,0,38,90,23,30,0,58,0,0,39
54,30,60,0,0,0,0,88,0,63,0,39,26
0,51,54,80,0,63,16,83,0,0,0,11,39
21,57,83,23,0,52,0,36,0,85,76,13,2
95,0,91,41,0,11,0,43,0,0,34,21,48
96,33,0,38,56,80,0,32,0,43,0,75,1
94,0,26,71,0,42,63,96,37,0,87,100,18
30,17,78,27,0,61,55,16,32,37,10,69,6
0,70,0,36,0,84,54,27,30,90,73,42,21
19,81,56,63,0,53,80,92,67,54,14,0,39
0,0,93,68,36,20,75,35,0,0,64,62,35
77,83,0,36,69,83,0,12,55,0,90,87,28
50,10,0,54,82,10,76,48,0,0,0,54,6
26,32,80,0,0,67,51,67,0,95,51,31,13
96,29,32,25,0,89,34,93,0,0,0,28,19
83,96,0,0,0,50,77,37,0,63,64,43,10
60,22,67,97,38,50,74,68,0,96,21,21,48
0,75,0,0,0,61,0,86,0,57,21,96,9
30,0,0,82,95,49,44,54,0,46,74,51,10
93,41,0,21,14,90,27,18,0,0,35,0,5
0,30,30,32,58,45,96,0,32,0,45,40,41
12,45,48,0,0,51,0,16,0,0,28,41,39
87,66,0,21,0,88,28,88,0,0,56,46,22
33,11,18,0,62,78,69,96,0,0,84,20,22
85,46,44,22,15,36,91,10,0,0,77,72,4
16,34,80,59,0,31,0,60,0,99,75,23,20
16,84,73,47,57,51,81,95,0,0,0,68,11
29,25,0,0,78,48,51,54,13,90,39,27,8
82,0,60,92,0,56,0,89,0,0,99,88,47
55,53,50,11,28,55,0,26,0,16,96,15,11
0,98,13,0,89,78,0,12,69,67,0,44,5
27,0,52,0,0,53,57,82,95,96,11,22,3
38,68,32,50,0,25,72,21,59,29,24,59,9
54,0,68,59,0,16,0,64,0,23,86,0,21
54,45,92,57,0,36,73,77,98,96,0,44,28
84,0,0,18,0,79,34,41,79,37,34,75,17
10,95,78,0,48,13,0,0,0,62,27,30,46
62,13,0,40,0,46,12,92,0,14,0,36,24
41,16,0,82,26,58,63,0,0,83,0,70,49
62,0,45,0,94,49,0,43,13,19,21,25,2
0,0,81,99,0,18,66,15,21,0,0,56,36
53,13,71,43,91,28,82,96,0,0,0,14,19
99,0,81,65,0,35,0,51,0,0,10,36,49
98,0,21,0,0,91,97,34,0,0,72,39,43
78,0,21,18,0,43,87,52,20,0,89,18,43
20,0,62,0,82,32,0,96,47,87,51,12,42
25,45,0,19,0,97,0,72,69,26,0,10,42
82,92,36,85,0,85,0,37,0,14,46,86,26
74,77,0,71,68,89,79,15,0,80,79,61,25
19,70,98,0,58,40,40,74,0,0,32,87,24
33,0,97,55,0,94,10,71,0,52,99,58,10
0,0,11,0,54,69,0,85,44,33,0,37,9
