60,5,29
2600,2342,3212,5502,150
31,90,75,85,88,28
69,0,0,85,0,27
0,0,11,83,15,36
86,0,35,66,0,18
85,97,26,73,21,32
55,97,0,98,0,33
80,98,0,88,89,25
0,0,61,63,0,17
11,68,16,36,94,33
43,92,78,90,58,22
38,94,100,37,39,12
41,10,83,95,0,39
27,15,0,24,0,8
98,42,67,14,76,3
95,51,84,17,0,15
53,21,96,74,0,1
55,31,0,72,93,31
49,27,0,93,48,38
86,0,78,38,0,36
62,58,12,22,86,12
0,0,0,73,49,25
67,77,65,65,38,48
42,45,18,82,62,40
40,24,76,75,53,44
43,56,93,43,0,3
64,13,61,70,19,29
54,72,41,82,82,47
91,88,31,99,72,15
56,61,57,47,84,21
45,92,36,45,40,21
28,57,96,22,82,26
98,37,0,51,55,43
0,80,65,78,66,35
43,88,24,16,19,14
23,68,63,62,62,7
0,24,29,66,0,5
0,16,38,91,63,9
15,0,62,57,82,49
10,0,46,82,20,37
0,15,51,94,56,25
15,32,76,53,84,2
0,25,0,67,48,14
0,27,44,57,0,44
64,65,80,73,0,28
29,45,75,76,58,44
12,0,0,38,12,26
19,23,54,87,0,42
35,13,16,65,0,13
0,90,33,35,95,26
62,12,61,56,83,35
58,34,65,12,18,1
62,0,19,63,67,1
94,0,79,61,57,43
15,59,88,38,0,22
33,38,52,79,79,32
28,80,58,75,91,8
58,28,98,55,44,48
61,0,73,68,22,26
16,0,97,45,0,12
37,0,77,12,0,25
