60,5,39
3946,3028,2618,3440,2243
90,40,22,30,71,9
86,52,20,48,42,22
34,33,17,74,17,15
91,99,63,83,21,23
27,11,75,45,92,43
99,84,53,25,26,15
96,51,34,78,79,30
16,81,44,54,43,10
33,47,91,24,79,11
25,42,64,31,48,1
50,72,35,62,55,17
94,90,57,47,35,21
62,50,93,67,72,38
73,79,90,58,21,28
84,46,45,26,58,30
21,67,62,0,16,14
44,96,89,12,28,22
61,73,44,0,55,31
13,70,25,16,24,18
62,98,50,23,47,48
71,15,19,0,52,13
91,77,44,51,13,25
41,84,24,45,61,47
89,14,17,96,55,32
83,44,46,89,30,22
59,82,41,29,94,28
53,33,20,43,66,46
81,59,95,62,87,2
28,66,12,80,78,5
12,89,95,23,36,30
57,71,16,0,48,21
15,50,85,38,27,10
92,26,75,56,11,42
61,34,64,0,57,39
90,69,36,34,83,18
87,97,30,77,96,23
69,83,86,98,98,49
93,23,39,71,94,5
90,64,26,11,68,13
29,97,39,0,40,10
24,66,52,0,34,24
58,18,10,0,31,5
28,95,30,16,36,30
27,30,58,97,16,39
77,19,85,14,66,30
63,55,92,44,49,22
60,10,79,0,77,25
12,42,100,65,99,19
29,53,29,26,30,28
98,91,68,63,69,39
67,25,78,40,79,26
55,19,83,42,11,15
60,32,55,85,53,35
21,52,51,26,21,11
40,67,87,50,54,5
96,88,34,45,48,39
59,77,27,42,33,47
56,29,78,23,21,1
84,53,15,44,17,29
96,78,74,53,33,4
