40,4,10
2364,2061,1256,464
28,65,65,50,36
81,22,14,27,37
40,33,55,12,9
11,85,69,54,13
37,32,77,49,22
55,13,58,71,46
13,47,89,16,28
23,22,99,28,32
62,34,46,75,36
52,28,100,21,48
42,71,25,37,6
76,51,57,92,1
27,41,18,47,12
91,65,22,77,48
93,27,86,41,44
48,60,84,19,5
56,71,26,51,23
100,86,23,53,38
86,79,43,99,32
95,53,84,70,11
49,57,48,67,48
17,23,32,10,46
78,94,51,27,35
52,10,44,17,42
55,50,33,35,18
38,91,30,100,17
17,40,29,46,9
79,27,21,98,47
73,19,79,72,46
60,85,54,33,10
75,39,81,82,2
82,42,34,53,28
51,63,33,17,25
59,35,67,62,7
56,79,83,56,30
13,33,85,79,25
34,64,62,18,42
60,70,76,64,12
38,45,90,83,35
95,33,72,89,27
