40,6,3
2112,1681,1992,1338,1410,527
68,31,69,0,0,45,11
0,74,0,0,52,33,22
76,0,82,0,81,62,23
66,0,32,67,0,33,37
99,0,0,89,57,88,28
23,0,60,90,100,0,49
0,0,86,59,14,65,12
33,0,41,28,0,27,22
68,0,65,40,0,86,37
33,62,21,42,0,75,28
0,48,76,12,71,0,7
0,0,35,45,80,18,23
58,22,39,70,80,36,4
66,0,11,63,85,95,15
54,73,29,0,15,32,29
85,20,0,67,59,24,41
75,70,0,0,59,36,37
87,0,92,43,77,42,25
85,71,92,53,29,100,3
23,55,44,78,0,18,13
99,0,16,76,59,0,7
95,34,65,0,100,25,6
0,49,67,34,65,66,28
0,47,16,0,0,64,38
96,42,73,61,28,73,36
88,0,0,68,93,67,19
23,65,24,46,64,96,4
75,99,62,70,53,10,37
68,0,27,53,91,17,24
48,60,0,76,18,36,44
0,75,0,35,0,0,16
30,47,44,68,0,69,33
58,99,89,50,0,96,24
91,0,0,0,0,41,25
16,32,86,45,29,0,42
87,82,28,49,0,60,6
65,64,35,0,0,42,38
79,33,41,46,74,13,18
35,19,64,62,0,11,37
21,29,47,0,20,73,41
