40,5,43
3325,2309,1314,1834,839
33,20,18,66,14,34
98,44,0,46,74,23
79,14,58,39,74,8
69,61,54,62,86,14
88,61,0,10,35,41
80,54,0,14,51,49
59,19,34,25,38,13
74,26,23,88,42,19
41,65,15,31,44,29
66,77,0,30,52,45
63,61,57,57,26,16
39,62,34,59,78,18
17,94,79,18,95,24
69,100,17,37,22,46
54,63,25,39,82,4
76,65,53,43,65,16
82,71,0,70,33,12
77,59,0,56,23,19
19,68,70,98,83,23
65,88,50,30,10,19
81,100,88,79,90,36
98,100,27,27,82,1
54,66,0,67,32,22
17,67,0,98,77,32
24,100,71,79,14,43
54,45,0,85,24,30
86,95,39,36,92,8
68,93,0,54,66,48
42,34,67,45,86,10
95,93,0,29,41,33
36,55,0,75,64,23
54,65,85,94,65,6
66,58,44,51,97,39
44,32,48,25,22,48
34,60,70,46,45,7
70,58,90,83,74,8
58,55,22,62,78,15
15,59,53,68,84,10
98,86,60,60,73,29
97,60,0,21,81,43
