100,8,50
3472,4984,6314,5074,3769,2786,2834,818
0,13,43,39,78,69,17,63,13
52,29,15,20,60,84,92,71,21
18,31,93,20,14,50,53,70,32
49,39,15,87,41,23,0,67,31
0,24,86,26,74,25,49,98,38
77,70,63,63,21,0,50,28,7
72,64,77,24,12,41,93,0,35
94,12,14,0,76,21,36,12,45
75,43,85,54,77,0,46,60,49
27,15,39,0,79,0,19,0,17
0,36,85,40,78,0,48,0,49
0,97,48,68,12,62,42,82,36
84,0,98,73,73,67,77,19,16
0,46,90,92,24,73,0,90,34
0,50,16,17,61,98,47,39,30
47,66,68,24,27,40,24,98,23
0,49,75,17,30,59,94,63,25
21,16,57,24,85,65,88,0,48
27,0,34,76,53,58,12,0,31
76,67,27,87,37,0,65,0,5
0,0,32,70,39,50,91,99,30
0,52,84,0,86,27,90,13,10
0,44,23,93,10,84,34,55,34
0,10,20,0,12,0,0,48,5
80,42,38,26,38,12,94,79,46
96,0,79,0,18,32,19,62,38
30,31,58,32,82,51,15,13,35
65,67,20,72,15,94,55,0,41
0,29,23,92,70,0,80,0,16
24,97,40,12,45,0,38,44,7
0,68,11,0,92,18,37,28,49
64,43,63,17,28,80,51,20,49
47,36,77,14,83,0,97,0,33
19,98,17,43,45,41,24,55,30
0,0,62,10,67,63,39,0,44
19,40,11,24,15,35,88,97,8
0,60,92,52,65,0,34,65,49
0,0,36,32,64,23,69,0,18
19,98,46,27,62,56,23,57,34
0,72,50,75,59,44,31,78,33
0,57,50,14,54,0,78,10,47
0,68,38,60,37,0,22,76,11
17,12,56,21,38,83,14,10,47
48,0,71,84,18,56,64,99,29
0,0,60,69,39,0,14,33,14
23,0,94,70,73,0,62,63,48
0,73,53,20,95,48,81,0,10
16,73,14,80,36,72,51,88,3
86,70,21,46,21,54,60,0,26
0,92,41,93,75,88,79,79,44
36,0,37,60,48,26,93,38,5
73,11,94,0,58,0,54,0,15
77,58,79,81,45,32,25,0,48
35,24,94,35,34,0,97,0,2
48,80,73,40,75,0,0,32,7
0,33,29,19,83,0,21,80,25
33,17,10,0,15,76,39,0,30
0,14,49,91,49,0,57,35,24
64,22,38,96,95,0,87,60,49
11,29,76,88,23,60,71,0,3
23,33,50,62,94,0,11,96,33
61,19,30,37,24,29,0,0,5
0,46,72,15,11,59,27,97,45
0,25,94,38,47,35,64,0,27
0,42,45,23,84,55,12,50,1
0,84,36,68,18,56,78,76,8
0,33,29,74,95,58,29,18,48
28,0,99,27,83,37,51,56,20
30,32,93,71,78,0,16,85,20
84,72,13,100,80,91,34,0,41
57,100,73,67,32,80,57,55,8
67,52,74,38,44,0,46,65,43
0,70,64,46,96,0,0,81,9
78,43,25,29,84,46,75,54,36
71,54,67,15,39,96,62,0,22
0,30,88,84,79,54,83,10,14
77,79,96,20,22,0,44,40,4
0,73,21,49,12,78,29,0,5
21,61,14,32,75,53,41,14,6
94,54,14,81,18,0,0,26,1
0,43,88,0,82,0,0,51,4
43,48,90,0,22,67,72,0,20
0,93,80,63,76,0,56,52,27
64,62,21,58,14,0,0,79,34
17,51,54,44,48,51,34,41,31
0,81,83,30,90,10,81,0,19
75,87,86,27,41,48,31,17,22
91,0,58,42,79,57,96,0,11
55,23,59,63,72,15,50,0,18
0,13,38,54,28,0,20,0,47
29,89,49,13,25,0,96,99,2
66,79,28,63,16,0,59,62,40
55,31,30,20,27,92,96,0,31
0,28,35,50,68,85,41,61,33
0,30,40,0,62,0,98,0,41
71,0,92,42,97,83,0,0,25
51,25,41,94,90,53,47,0,47
0,79,19,36,66,22,64,67,32
0,51,71,97,53,13,99,53,34
0,0,51,90,80,20,87,10,46
