60,4,31
3983,4590,2678,68
47,92,11,94,28
55,81,93,39,44
39,97,77,64,9
52,97,90,100,30
80,58,42,21,27
55,63,74,32,46
73,30,67,60,34
56,94,76,40,18
39,49,27,67,46
87,100,43,90,46
23,46,66,41,49
83,91,68,98,24
45,52,55,65,39
16,98,19,21,38
42,58,27,66,31
91,12,97,38,28
78,52,63,56,28
64,78,88,83,35
64,18,52,51,25
42,71,32,25,39
23,80,71,19,49
40,61,46,71,13
58,50,98,25,9
98,84,12,27,49
95,14,71,49,4
82,97,17,24,20
64,14,39,48,8
97,33,38,36,3
52,37,99,39,1
15,55,11,56,48
19,35,35,82,45
90,33,82,88,48
20,23,75,82,3
94,87,38,34,30
69,52,78,47,34
45,14,35,11,10
43,82,11,40,41
59,81,71,32,25
66,43,79,65,41
38,75,65,24,34
59,62,62,15,24
77,68,28,34,29
88,49,33,57,46
92,35,86,49,23
34,32,24,40,8
83,51,28,20,4
16,61,91,100,15
96,91,71,10,14
80,90,57,92,6
45,15,90,17,11
38,45,45,43,24
92,37,74,32,20
58,15,89,49,14
78,78,67,13,28
43,44,76,75,25
20,37,28,87,7
25,10,15,30,16
89,55,88,57,22
64,60,49,47,41
36,51,17,37,37
