40,4,13
3112,2333,1832,423
64,43,88,62,36
90,75,26,80,49
93,90,47,44,40
24,57,38,16,14
22,21,63,82,44
11,27,100,11,39
66,66,15,28,31
99,21,69,17,11
15,88,82,84,20
61,29,16,52,44
68,63,89,91,13
63,71,10,73,28
44,26,11,14,44
86,53,61,46,8
81,26,50,70,13
78,77,31,99,15
99,66,92,93,25
67,90,15,26,26
11,16,23,60,39
26,56,70,74,3
13,13,62,62,44
21,49,26,68,16
20,43,72,59,44
52,58,84,62,24
17,17,78,94,1
11,96,55,26,15
44,56,78,46,19
73,95,44,28,49
22,67,89,69,41
81,16,21,83,41
73,14,16,74,14
24,64,51,84,15
87,62,59,37,8
99,33,65,16,23
25,71,18,29,10
45,40,27,53,20
79,62,22,26,6
51,48,47,15,20
75,97,48,47,6
28,69,76,29,48
