60,4,69
4832,4918,1938,1090
38,44,66,47,41
10,99,19,73,43
50,84,20,15,2
42,19,52,23,50
72,55,38,48,26
37,40,52,13,17
41,41,65,93,22
16,47,97,79,48
29,88,62,38,40
21,16,91,11,21
81,95,17,52,15
90,13,84,51,33
89,76,74,93,40
39,45,52,41,24
60,47,70,29,41
23,11,36,93,11
96,22,82,92,15
65,73,53,43,48
95,86,45,49,39
87,29,17,73,28
31,73,85,49,49
75,47,93,17,6
87,75,72,43,7
54,100,70,21,43
33,98,45,31,46
81,91,29,19,36
69,68,53,72,27
87,91,43,63,38
72,63,27,54,6
91,76,85,62,38
67,75,83,93,30
74,40,71,53,15
97,16,47,60,31
79,24,63,35,43
50,20,23,16,22
15,57,26,52,23
59,89,81,28,37
55,84,56,51,24
11,71,77,86,26
61,59,43,64,8
100,35,63,34,7
37,15,77,65,35
80,94,61,21,23
23,36,71,99,25
18,19,71,95,35
47,84,13,59,25
15,23,72,72,29
14,55,60,13,17
88,50,72,22,37
100,65,42,93,14
17,95,45,53,22
30,56,73,90,42
48,11,89,80,27
97,49,78,97,10
45,36,89,45,9
30,37,94,93,4
15,88,92,26,44
18,56,52,20,33
31,91,10,73,10
91,20,84,70,38
