20,15,9
944,1254,1155,859,479,466,635,598,433,522,453,523,1207,617,1515
0,15,79,43,59,56,87,0,0,89,13,40,41,98,0,16
0,54,52,0,26,30,18,77,22,34,0,71,11,82,40,11
0,34,90,34,89,94,91,85,36,29,20,79,39,34,79,23
20,21,82,60,26,88,74,91,83,0,0,98,27,0,50,27
35,100,82,0,99,18,86,28,18,46,85,95,83,42,10,36
0,64,51,0,83,33,93,66,63,48,0,67,24,48,22,27
15,18,11,56,29,35,75,0,81,19,73,0,75,64,82,36
0,43,51,29,12,47,16,61,79,19,0,0,40,22,33,38
0,17,80,84,30,55,36,70,20,93,0,39,21,14,29,15
60,12,41,0,72,73,36,48,81,0,0,72,18,96,23,35
47,61,35,65,84,86,28,45,60,0,0,27,76,0,48,30
0,14,49,40,79,74,96,20,21,79,0,79,58,39,40,26
95,39,35,27,13,84,73,0,57,18,0,23,29,51,41,17
55,73,83,58,38,11,21,28,0,28,0,58,86,0,25,13
62,24,80,32,98,10,19,64,46,0,48,43,39,0,75,37
91,56,14,72,48,29,11,16,73,50,35,0,88,86,100,26
74,85,67,96,78,21,64,19,74,55,53,77,89,0,0,12
52,40,35,0,0,77,67,28,38,0,31,76,58,28,74,45
77,65,77,93,74,18,32,29,0,32,0,80,95,86,43,42
65,10,40,56,80,77,84,82,60,0,17,73,22,34,17,40
