100,6,27
5558,6669,5132,4232,2587,1318
86,83,12,65,0,43,32
33,23,72,31,0,0,3
37,93,0,91,0,39,4
25,28,71,19,0,37,20
77,66,71,91,70,88,13
87,87,87,79,0,17,27
73,27,51,23,95,90,4
39,62,0,99,74,33,38
31,98,19,50,35,22,29
76,37,23,60,47,95,38
31,57,82,75,40,38,21
28,72,0,27,17,17,20
12,100,0,83,29,36,40
15,46,0,86,85,16,41
73,67,71,43,100,0,14
15,35,28,45,0,53,42
43,35,0,93,24,71,16
65,46,0,65,88,32,32
54,90,0,18,54,13,20
54,27,87,44,91,78,48
47,31,86,82,88,41,25
87,81,63,57,19,32,38
11,19,75,37,62,35,16
61,49,30,32,65,19,50
32,49,0,99,14,38,38
34,84,0,83,30,71,28
25,83,91,50,12,82,45
71,88,83,90,80,100,10
50,14,0,25,0,60,47
100,88,20,20,14,0,44
99,26,59,29,48,77,11
99,72,0,64,25,0,45
93,73,0,53,97,39,42
10,18,16,71,0,35,46
27,53,69,27,32,29,50
97,89,0,36,0,44,3
27,25,60,28,88,0,14
95,60,90,81,69,30,28
16,37,56,77,29,83,21
37,81,67,25,0,96,7
55,65,0,76,0,98,50
64,47,96,68,79,0,19
14,47,60,44,73,0,1
32,88,46,60,0,81,36
23,84,0,64,92,70,35
23,30,61,94,55,56,50
80,75,0,16,99,0,26
35,32,0,81,79,61,33
51,38,0,55,65,69,45
20,47,0,27,46,37,48
43,67,0,33,23,30,41
88,36,45,34,91,85,1
30,20,17,41,0,37,36
98,22,82,35,63,40,42
79,92,0,31,0,0,33
90,95,0,41,82,90,14
19,40,0,26,39,0,32
84,53,0,36,32,100,47
57,49,0,33,49,62,5
24,60,91,99,0,91,2
75,81,0,34,29,24,10
95,74,69,78,46,66,37
55,19,0,86,0,73,12
60,30,82,37,46,71,16
90,87,24,28,31,0,12
98,19,53,77,0,69,32
99,84,16,36,0,60,48
48,29,37,60,0,80,46
18,95,59,34,0,96,18
56,25,98,83,45,33,4
25,46,32,26,80,92,7
98,57,54,73,12,55,13
40,80,0,21,0,97,13
83,15,75,35,0,91,20
71,94,0,32,72,26,39
18,77,0,73,24,74,50
28,85,27,97,90,0,18
57,11,69,84,0,69,33
54,29,0,66,0,98,28
56,43,89,46,26,65,47
96,75,0,88,64,41,25
29,56,0,56,49,69,50
36,76,100,28,52,42,2
48,32,0,40,0,29,3
79,48,62,91,31,0,2
19,54,0,48,21,57,17
11,80,0,28,45,93,9
28,31,87,56,36,14,28
28,51,0,58,29,0,18
11,76,84,16,17,42,17
58,79,32,55,63,57,9
94,46,52,76,63,17,21
28,62,85,34,0,92,20
81,42,16,54,35,19,18
14,71,0,95,71,56,42
98,83,0,81,25,85,11
16,70,74,41,78,88,38
38,59,21,36,41,24,37
21,89,58,14,0,80,49
20,93,90,57,23,0,11
