80,7,26
5814,4073,3279,2287,2423,3880,343
0,0,0,92,16,79,89,31
17,11,61,84,36,0,97,29
61,43,0,0,71,0,54,18
52,60,0,0,27,48,27,6
93,0,13,53,0,0,77,19
19,87,75,97,78,97,51,30
89,0,64,24,59,62,43,15
56,45,56,28,33,79,29,17
50,0,22,0,0,89,73,20
16,61,67,74,0,57,13,8
48,0,100,53,48,83,33,21
0,29,43,94,82,0,95,13
87,60,73,10,75,81,51,30
100,71,22,0,10,0,77,45
41,78,16,19,70,0,17,25
33,19,46,16,37,0,87,9
31,87,95,0,76,0,86,27
26,72,0,41,0,0,67,34
42,94,67,15,24,0,36,25
89,34,60,18,0,89,28,2
67,29,0,73,74,82,34,21
94,24,79,0,54,59,36,37
0,29,0,66,67,78,28,27
67,93,56,69,88,0,13,30
69,65,0,0,72,0,52,35
78,93,35,0,53,0,80,11
32,83,21,66,58,94,39,18
79,25,71,51,0,73,49,37
95,88,57,75,0,0,78,21
50,52,0,0,10,40,18,49
83,56,67,58,82,0,76,44
29,15,0,90,95,0,100,31
87,83,0,88,36,52,29,11
0,14,0,67,0,0,98,2
87,54,90,0,10,64,20,37
72,0,95,72,61,0,82,3
87,100,0,46,0,16,100,19
37,0,75,0,48,24,100,6
60,66,88,14,67,44,43,25
96,0,10,92,11,64,83,39
60,19,13,32,0,80,60,38
11,0,0,100,11,67,73,22
81,57,93,49,79,62,15,36
13,0,0,23,0,24,38,21
52,58,58,42,80,61,93,5
64,83,0,43,24,87,55,36
40,80,0,68,0,49,44,36
56,0,0,0,0,0,93,32
0,0,53,41,55,29,33,37
71,32,0,14,0,77,61,6
23,51,88,0,41,76,99,30
0,12,87,81,0,99,37,33
0,75,0,96,87,66,64,50
55,22,0,47,17,18,39,28
0,35,49,98,59,0,17,25
44,13,86,58,24,42,23,12
0,16,0,60,73,73,68,3
72,0,35,50,0,0,71,50
63,97,0,32,0,0,88,6
85,43,69,0,37,0,54,21
21,15,0,0,81,15,37,50
56,0,64,15,0,56,100,15
19,0,0,15,32,36,12,22
67,15,31,0,10,0,86,38
31,0,0,0,85,0,28,36
21,0,44,64,0,0,76,14
0,57,0,0,39,12,69,3
68,0,58,0,35,79,77,25
57,0,68,61,23,0,79,45
54,0,65,0,62,0,31,32
48,88,78,39,67,0,12,45
36,31,0,0,26,13,98,41
96,90,31,64,0,0,10,27
78,61,0,87,86,74,15,32
0,0,18,72,60,62,61,27
35,0,95,17,17,0,93,16
97,39,0,41,19,87,93,11
43,0,96,15,48,23,63,17
0,0,51,0,36,78,86,43
88,15,0,33,34,77,22,35
